Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.1277  1.4410    -4.1851 -0.2279
      1  -3.1310  0.9541    -4.3523 -2.1502
      2  -2.5678  0.7786    -3.2994 -2.0223
      3  -2.2950  0.7419    -2.8403 -1.8789
      4  -2.1376  0.7334    -2.5893 -1.6710
      5  -2.1782  0.5581    -2.5738 -2.1085
      6  -2.4762  1.0291    -3.8165 -2.0277
      7  -2.5279  0.9323    -3.4301 -2.1556
      8  -2.5037  0.7579    -3.0842 -2.2942
      9  -2.9168  1.3462    -6.4742 -2.1877
     10  -2.7354  1.0497    -4.3990 -2.2761
     11  -2.6177  0.8173    -3.2871 -2.3222
     12  -2.7785  0.9484    -3.8077 -2.3839
     13  -2.6921  0.7176    -3.2746 -2.3912
     14  -2.6319  0.5603    -3.1187 -2.3929
     15  -2.6810  0.5193    -3.1391 -2.4304
     16  -2.6416  0.4114    -3.0812 -2.4274
     17  -2.6206  0.3174    -3.0326 -2.4280
     18  -2.6429  0.2660    -3.0492 -2.4768
     19  -2.6541  0.2180    -3.0562 -2.5450

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0993  0.0599     0.0027  0.1895
      1   0.0987  0.0600     0.0026  0.1894
      2   0.0995  0.0599     0.0027  0.1896
      3   0.0989  0.0599     0.0027  0.1894
      4   0.0971  0.0601     0.0027  0.1890
      5   0.1103  0.0568     0.0099  0.1911
      6   0.0556  0.0430     0.0001  0.1369
      7   0.0605  0.0449     0.0001  0.1455
      8   0.0682  0.0458     0.0011  0.1528
      9   0.0243  0.0211     0.0000  0.0615
     10   0.0279  0.0210     0.0001  0.0646
     11   0.0312  0.0209     0.0001  0.0674
     12   0.0238  0.0155     0.0001  0.0485
     13   0.0255  0.0150     0.0007  0.0498
     14   0.0275  0.0149     0.0028  0.0518
     15   0.0281  0.0150     0.0034  0.0526
     16   0.0300  0.0151     0.0060  0.0544
     17   0.0313  0.0149     0.0077  0.0552
     18   0.0330  0.0153     0.0085  0.0581
     19   0.0346  0.0155     0.0095  0.0601

