trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1338 750.00  0.00 800.00  6.44  0
  1  656 370.00  0.00 800.00 10.80  1
  2  822 460.00  0.00 800.00 26.00  1
  3  608 340.00  0.00 800.00 104.00  1
  4  574 320.00  0.00 800.00 260.00  0
  5  716 400.00  0.00 800.00 104.00  1
  6  663 370.00  0.00 800.00 156.00  1
  7  592 330.00  0.00 800.00 260.00  0
  8  645 360.00  0.00 800.00 156.00  1
  9  771 430.00  0.00 800.00 156.00  0
 10  788 440.00  0.00 800.00 104.00  1
 11  771 420.00  0.00 800.00 104.00  1
 12  771 440.00  0.00 800.00 104.00  1
 13  753 420.00  0.00 800.00 156.00  1
 14  771 430.00  0.00 800.00 260.00  0
 15  753 400.00  0.00 800.00 104.00  1
 16  753 440.00  0.00 800.00 104.00  1
 17  753 440.00  0.00 800.00 260.00  0
 18  753 410.00  0.00 800.00 104.00  1
 19  753 410.00  0.00 800.00 260.00  0
