  0 1338 750.00  0.00 800.00  6.44  0
  1  693 390.00  0.00 800.00 12.90  1
  2  679 380.00  0.00 800.00 52.00  1
  3  716 400.00  0.00 800.00 104.00  1
  4  665 370.00  0.00 800.00 520.00  0
  5  753 420.00  0.00 800.00 156.00  0
  6  663 370.00  0.00 800.00 156.00  1
  7  771 430.00  0.00 800.00 156.00  1
  8  736 410.00  0.00 800.00 260.00  0
  9  735 410.00  0.00 800.00 156.00  1
 10  736 420.00  0.00 800.00 520.00  0
 11  700 390.00  0.00 800.00 260.00  0
 12  717 400.00  0.00 800.00 156.00  1
 13  700 410.00  0.00 800.00 520.00  0
 14  717 410.00  0.00 800.00 260.00  0
 15  717 420.00  0.00 800.00 104.00  1
 16  717 400.00  0.00 800.00 260.00  0
 17  735 410.00  0.00 800.00 156.00  1
 18  700 390.00  0.00 800.00 260.00  0
 19  717 400.00  0.00 800.00 156.00  1
