Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.5880  1.6280    -5.1301 -0.2770
      1  -3.8555  0.9555    -5.2423 -2.7050
      2  -3.1922  0.7104    -3.9495 -2.6423
      3  -3.4681  0.5767    -4.0718 -3.1618
      4  -3.7501  0.6213    -4.4003 -3.4740
      5  -4.0875  1.0661    -6.1929 -3.3280
      6  -3.9344  0.8396    -4.9733 -3.4651
      7  -3.8070  0.8808    -4.7862 -3.2810
      8  -4.0094  1.1726    -6.6292 -2.8272
      9  -3.9506  0.8985    -5.1457 -3.3811
     10  -3.8893  0.6949    -4.5048 -3.4799
     11  -3.9625  0.6465    -4.5774 -3.6923
     12  -3.9256  0.4972    -4.3989 -3.7018
     13  -3.9595  0.4164    -4.4023 -3.7593
     14  -3.9733  0.3338    -4.3948 -3.8461
     15  -4.1050  0.6298    -4.8003 -3.8458
     16  -4.0614  0.4868    -4.5989 -3.8779
     17  -4.2035  0.7164    -4.9692 -3.8761
     18  -4.1684  0.5520    -4.7350 -3.9531
     19  -4.1421  0.4315    -4.6700 -3.9570

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1012  0.0591     0.0048  0.1898
      1   0.1010  0.0592     0.0045  0.1898
      2   0.1014  0.0592     0.0046  0.1899
      3   0.1035  0.0585     0.0068  0.1902
      4   0.0981  0.0606     0.0024  0.1896
      5   0.0385  0.0363     0.0000  0.1092
      6   0.0467  0.0376     0.0001  0.1180
      7   0.0459  0.0377     0.0001  0.1175
      8   0.0268  0.0236     0.0000  0.0687
      9   0.0292  0.0232     0.0001  0.0704
     10   0.0325  0.0231     0.0001  0.0732
     11   0.0348  0.0244     0.0003  0.0779
     12   0.0378  0.0243     0.0026  0.0805
     13   0.0417  0.0254     0.0046  0.0861
     14   0.0451  0.0257     0.0073  0.0895
     15   0.0243  0.0148     0.0004  0.0481
     16   0.0264  0.0146     0.0020  0.0500
     17   0.0181  0.0104     0.0001  0.0335
     18   0.0194  0.0101     0.0009  0.0340
     19   0.0205  0.0099     0.0019  0.0346

