Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.0646  1.9815    -6.3634 -0.3182
      1  -4.6648  1.3088    -7.4744 -3.2315
      2  -3.8181  0.7271    -4.7186 -3.1686
      3  -3.4135  0.6136    -4.0008 -2.9695
      4  -3.1361  0.6880    -3.6645 -2.5109
      5  -3.2147  0.4818    -3.6562 -3.1170
      6  -3.1955  0.3613    -3.6254 -3.1476
      7  -3.2098  0.2744    -3.6279 -3.1753
      8  -3.2027  0.2097    -3.6144 -3.1756
      9  -3.2127  0.1822    -3.6313 -3.1787
     10  -3.2089  0.1491    -3.6233 -3.1788
     11  -3.2068  0.1293    -3.6185 -3.1788
     12  -3.2052  0.1171    -3.6142 -3.1789
     13  -3.2042  0.1102    -3.6115 -3.1789
     14  -3.2056  0.1062    -3.6130 -3.1795
     15  -3.2042  0.1022    -3.6087 -3.1795
     16  -3.2338  0.1250    -3.6493 -3.1818
     17  -3.2332  0.1236    -3.6483 -3.1818
     18  -3.3317  0.1433    -3.6813 -3.1976
     19  -3.3303  0.1419    -3.6801 -3.1974

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0988  0.0596     0.0046  0.1894
      1   0.0965  0.0599     0.0040  0.1890
      2   0.1014  0.0590     0.0053  0.1898
      3   0.1009  0.0593     0.0049  0.1898
      4   0.0935  0.0608     0.0022  0.1884
      5   0.1067  0.0578     0.0083  0.1906
      6   0.1091  0.0563     0.0134  0.1908
      7   0.1168  0.0540     0.0207  0.1920
      8   0.1180  0.0532     0.0237  0.1921
      9   0.1219  0.0525     0.0271  0.1929
     10   0.1228  0.0519     0.0292  0.1930
     11   0.1233  0.0515     0.0305  0.1930
     12   0.1238  0.0511     0.0317  0.1931
     13   0.1241  0.0508     0.0326  0.1931
     14   0.1266  0.0498     0.0356  0.1934
     15   0.1271  0.0494     0.0367  0.1934
     16   0.1203  0.0510     0.0331  0.1924
     17   0.1205  0.0508     0.0336  0.1924
     18   0.0933  0.0466     0.0276  0.1785
     19   0.0937  0.0464     0.0282  0.1786

