Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.8346  1.4899    -4.1323 -0.1884
      1  -2.6297  1.2527    -5.1819 -1.6241
      2  -3.3037  1.3330    -6.9362 -2.5404
      3  -3.9661  1.6530    -8.2301 -2.9424
      4  -3.2589  0.7345    -3.9219 -2.9282
      5  -3.6500  1.1758    -6.5108 -2.9429
      6  -3.4424  0.8141    -4.2388 -3.0135
      7  -3.3274  0.9971    -4.8662 -2.6934
      8  -3.2310  0.8294    -3.8089 -2.7425
      9  -3.2308  0.6443    -3.6601 -2.9946
     10  -3.1973  0.4726    -3.6078 -3.0246
     11  -3.1640  0.4175    -3.4252 -2.9917
     12  -3.1736  0.3151    -3.4241 -3.1652
     13  -3.1600  0.3102    -3.4185 -3.0737
     14  -3.1091  0.6386    -3.4244 -2.7778
     15  -3.0280  0.8370    -3.5142 -2.4948
     16  -3.0163  0.6467    -3.4168 -2.6947
     17  -3.0329  0.5396    -3.4144 -2.8462
     18  -2.9780  0.5006    -3.3939 -2.7886
     19  -2.9745  0.3851    -3.3886 -2.9026

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0969  0.0610     0.0009  0.1893
      1   0.0956  0.0615     0.0012  0.1892
      2   0.0900  0.0630     0.0004  0.1885
      3   0.0728  0.0635     0.0001  0.1849
      4   0.0972  0.0606     0.0017  0.1894
      5   0.0499  0.0448     0.0000  0.1382
      6   0.0592  0.0448     0.0001  0.1453
      7   0.0477  0.0409     0.0001  0.1277
      8   0.0555  0.0430     0.0001  0.1377
      9   0.0631  0.0429     0.0017  0.1436
     10   0.0655  0.0421     0.0070  0.1448
     11   0.0717  0.0440     0.0085  0.1535
     12   0.0779  0.0432     0.0141  0.1573
     13   0.0783  0.0435     0.0140  0.1581
     14   0.0372  0.0240     0.0013  0.0791
     15   0.0253  0.0162     0.0001  0.0518
     16   0.0277  0.0159     0.0011  0.0533
     17   0.0303  0.0160     0.0030  0.0557
     18   0.0307  0.0160     0.0036  0.0563
     19   0.0324  0.0157     0.0071  0.0576

