Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6118  2.7301    -9.0002 -0.4847
      1  -2.4262  1.5249    -4.8229 -0.2623
      2  -1.2654  0.9518    -2.5838 -0.1436
      3  -0.6238  0.7279    -1.3380 -0.0773
      4  -1.0053  0.6795    -1.5617 -0.6402
      5  -0.8456  0.6434    -1.2696 -0.5593
      6  -0.8210  0.4823    -1.2480 -0.5824
      7  -1.1880  1.0297    -2.2054 -0.6447
      8  -1.2295  0.9058    -2.0967 -0.8431
      9  -1.7601  1.4732    -5.4077 -0.8651
     10  -2.6753  1.9840    -7.7728 -0.9580
     11  -2.3666  1.6403    -6.6004 -1.0215
     12  -2.1666  1.3375    -4.8922 -1.0619
     13  -2.8388  1.5876    -6.6628 -1.2921
     14  -2.6754  1.3335    -5.3484 -1.3436
     15  -2.5794  1.1498    -4.7165 -1.3636
     16  -3.0847  1.2152    -5.3927 -1.7154
     17  -2.7387  1.0283    -4.4207 -1.6251
     18  -2.4920  0.9261    -3.8332 -1.5146
     19  -2.7805  0.9646    -4.1905 -1.7972

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1018  0.0587     0.0070  0.1898
      1   0.1019  0.0587     0.0071  0.1899
      2   0.1023  0.0584     0.0079  0.1899
      3   0.1027  0.0582     0.0086  0.1899
      4   0.0995  0.0591     0.0062  0.1894
      5   0.0997  0.0583     0.0074  0.1891
      6   0.1022  0.0571     0.0108  0.1894
      7   0.0471  0.0410     0.0001  0.1302
      8   0.0551  0.0449     0.0010  0.1440
      9   0.0173  0.0149     0.0000  0.0434
     10   0.0070  0.0057     0.0000  0.0137
     11   0.0080  0.0054     0.0000  0.0145
     12   0.0087  0.0051     0.0001  0.0152
     13   0.0064  0.0034     0.0000  0.0095
     14   0.0070  0.0030     0.0001  0.0099
     15   0.0073  0.0027     0.0001  0.0101
     16   0.0068  0.0022     0.0001  0.0069
     17   0.0070  0.0022     0.0001  0.0070
     18   0.0072  0.0023     0.0002  0.0086
     19   0.0069  0.0022     0.0001  0.0069

