trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  486 280.00  0.00 800.00  0.43  1
  1  788 440.00  0.00 800.00 104.00  0
  2  693 390.00  0.00 800.00 12.90  0
  3  742 420.00  0.00 800.00  3.00  0
  4  687 390.00  0.00 800.00  2.00  1
  5  652 370.00  0.00 800.00  3.00  0
  6  687 380.00  0.00 800.00  1.00  1
  7  687 390.00  0.00 800.00  3.00  1
  8  634 360.00  0.00 800.00  3.00  1
  9  671 380.00  0.00 800.00  4.30  1
 10  780 440.00  0.00 800.00  6.44  1
 11 1421 790.00  0.00 800.00 520.00  0
 12 1421 790.00  0.00 800.00 260.00  0
 13  800 450.00  0.00 800.00 10.80  1
 14 1421 770.00  0.00 800.00 260.00  0
 15 1421 790.00  0.00 800.00 260.00  0
 16  801 450.00  0.00 800.00 12.90  1
 17  768 430.00  0.00 800.00 26.00  0
 18  748 420.00  0.00 800.00 17.20  0
 19  783 440.00  0.00 800.00 12.90  1
