Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.4628  1.3072    -3.2133 -0.1513
      1  -2.0931  1.0468    -3.4765 -1.3472
      2  -2.5195  0.9825    -3.9768 -1.9791
      3  -2.6946  0.9244    -4.1179 -2.2749
      4  -2.9696  1.0131    -4.8385 -2.4415
      5  -3.4167  1.2363    -6.2835 -2.6469
      6  -4.0450  1.4808    -7.6495 -2.7173
      7  -3.6851  1.0938    -5.7482 -2.8161
      8  -3.4880  0.8987    -4.7075 -2.8351
      9  -3.7731  1.0388    -5.5588 -2.9630
     10  -3.7173  0.8206    -4.8783 -3.0673
     11  -3.6060  0.6753    -4.4460 -3.0650
     12  -3.9473  1.0887    -5.9226 -2.9706
     13  -3.9003  0.8679    -5.0880 -3.1685
     14  -3.8732  0.7093    -4.9015 -3.2108
     15  -4.1549  0.9225    -5.5142 -3.3083
     16  -4.1326  0.7644    -5.2701 -3.4152
     17  -4.0390  0.6442    -4.9887 -3.3988
     18  -3.9641  0.5627    -4.8276 -3.3632
     19  -4.0266  0.5064    -4.8673 -3.4833

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0995  0.0605     0.0001  0.1897
      1   0.0987  0.0609     0.0001  0.1896
      2   0.0944  0.0619     0.0001  0.1889
      3   0.0922  0.0620     0.0001  0.1885
      4   0.0715  0.0582     0.0001  0.1793
      5   0.0331  0.0330     0.0001  0.0982
      6   0.0139  0.0124     0.0000  0.0346
      7   0.0168  0.0131     0.0000  0.0387
      8   0.0196  0.0138     0.0001  0.0423
      9   0.0146  0.0104     0.0000  0.0311
     10   0.0155  0.0101     0.0001  0.0315
     11   0.0172  0.0104     0.0004  0.0335
     12   0.0099  0.0064     0.0000  0.0189
     13   0.0105  0.0061     0.0001  0.0191
     14   0.0109  0.0059     0.0003  0.0193
     15   0.0083  0.0043     0.0001  0.0133
     16   0.0086  0.0041     0.0002  0.0133
     17   0.0091  0.0042     0.0003  0.0137
     18   0.0096  0.0044     0.0004  0.0144
     19   0.0101  0.0046     0.0005  0.0159

