trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  158  90.00  0.00 800.00 104.00  0
  1  742 420.00  0.00 800.00  3.00  1
  2  744 420.00  0.00 800.00  6.44  1
  3  745 420.00  0.00 800.00  8.60  1
  4  693 390.00  0.00 800.00 12.90  1
  5  694 390.00  0.00 800.00 17.20  1
  6  732 410.00  0.00 800.00 26.00  1
  7  680 380.00  0.00 800.00 104.00  0
  8  715 400.00  0.00 800.00 52.00  0
  9  840 470.00  0.00 800.00 26.00  1
 10 1421 790.00  0.00 800.00 520.00  0
 11  787 440.00  0.00 800.00 52.00  0
 12  841 470.00  0.00 800.00 52.00  1
 13    0  10.00  0.00 800.00  0.43  1
 14    0  20.00  0.00 800.00  0.71  1
 15  913 510.00  0.00 800.00 52.00  1
 16    0  20.00  0.00 800.00  0.71  1
 17  824 460.00  0.00 800.00 104.00  0
 18 1003 560.00  0.00 800.00 52.00  0
 19  499 280.00  0.00 800.00 52.00  1
