Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.3324  2.0226    -6.5608 -0.3532
      1  -4.8611  1.1948    -6.7329 -3.2703
      2  -3.8249  0.7244    -4.7275 -3.1693
      3  -4.2309  0.5841    -4.8944 -3.8259
      4  -4.3943  0.5140    -4.9746 -4.1822
      5  -4.2294  0.4449    -4.6678 -4.0499
      6  -4.2487  0.3422    -4.6575 -4.2216
      7  -4.4602  0.6998    -5.3158 -4.2196
      8  -4.5469  0.6612    -5.4425 -4.2692
      9  -4.4770  0.4775    -4.9286 -4.2774
     10  -4.3833  0.7364    -5.0314 -4.0919
     11  -4.3007  0.7338    -4.8919 -4.0150
     12  -4.2553  0.6095    -4.7136 -4.0552
     13  -4.2305  0.4779    -4.6481 -4.1040
     14  -4.2361  0.3563    -4.6303 -4.2184
     15  -4.2211  0.2763    -4.4965 -4.2193
     16  -4.2239  0.2046    -4.4818 -4.2230
     17  -4.2249  0.1537    -4.4784 -4.2248
     18  -4.2227  0.1175    -4.4764 -4.2251
     19  -4.2216  0.0936    -4.4754 -4.2253

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1008  0.0592     0.0053  0.1898
      1   0.1007  0.0592     0.0055  0.1897
      2   0.1005  0.0594     0.0047  0.1897
      3   0.1005  0.0593     0.0049  0.1897
      4   0.1036  0.0588     0.0064  0.1903
      5   0.1064  0.0579     0.0083  0.1906
      6   0.1147  0.0552     0.0157  0.1918
      7   0.0544  0.0410     0.0001  0.1319
      8   0.0570  0.0430     0.0007  0.1390
      9   0.0650  0.0425     0.0044  0.1447
     10   0.0386  0.0268     0.0001  0.0850
     11   0.0400  0.0279     0.0001  0.0885
     12   0.0450  0.0287     0.0006  0.0945
     13   0.0493  0.0287     0.0043  0.0983
     14   0.0520  0.0280     0.0089  0.1000
     15   0.0556  0.0279     0.0123  0.1031
     16   0.0571  0.0274     0.0153  0.1039
     17   0.0579  0.0270     0.0169  0.1044
     18   0.0587  0.0267     0.0185  0.1049
     19   0.0592  0.0266     0.0196  0.1052

