Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.6991  1.7754    -5.4256 -0.2828
      1  -4.1450  1.1874    -6.4638 -2.9412
      2  -3.4500  0.7377    -4.2640 -2.8333
      3  -3.0458  0.6996    -3.6447 -2.5845
      4  -3.2276  0.6387    -3.7664 -2.9539
      5  -3.1876  0.4688    -3.6423 -2.9698
      6  -3.1431  0.3703    -3.4235 -2.9660
      7  -3.1013  0.3890    -3.4157 -2.9172
      8  -3.1639  0.3040    -3.4182 -3.1661
      9  -3.0921  0.8140    -3.5688 -2.4598
     10  -3.0433  0.6638    -3.4195 -2.5196
     11  -3.0818  0.4876    -3.4166 -2.9018
     12  -2.9749  0.5721    -3.4018 -2.6786
     13  -2.9149  0.5097    -3.3524 -2.6522
     14  -2.9314  0.3765    -3.3458 -2.8098
     15  -2.8870  0.5076    -3.2283 -2.6406
     16  -2.7942  1.0362    -3.9333 -1.8535
     17  -2.7906  0.8085    -3.3303 -2.1628
     18  -2.7971  0.6328    -3.2431 -2.3891
     19  -2.8098  0.5005    -3.2021 -2.4947

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0987  0.0599     0.0038  0.1895
      1   0.0961  0.0606     0.0028  0.1891
      2   0.0999  0.0594     0.0040  0.1895
      3   0.0968  0.0603     0.0024  0.1890
      4   0.0982  0.0595     0.0030  0.1891
      5   0.1024  0.0576     0.0089  0.1896
      6   0.1118  0.0556     0.0147  0.1912
      7   0.1067  0.0558     0.0124  0.1900
      8   0.1220  0.0531     0.0218  0.1928
      9   0.0466  0.0362     0.0001  0.1144
     10   0.0509  0.0368     0.0014  0.1196
     11   0.0567  0.0363     0.0056  0.1240
     12   0.0419  0.0256     0.0026  0.0857
     13   0.0433  0.0257     0.0035  0.0870
     14   0.0465  0.0250     0.0078  0.0889
     15   0.0371  0.0215     0.0031  0.0731
     16   0.0164  0.0114     0.0001  0.0342
     17   0.0183  0.0113     0.0001  0.0359
     18   0.0200  0.0112     0.0008  0.0375
     19   0.0217  0.0111     0.0019  0.0390

