Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.0514  2.0758    -7.1995 -0.3082
      1  -4.6069  1.5308    -8.1787 -2.9921
      2  -3.5738  0.7267    -4.4574 -2.9208
      3  -3.9775  0.5903    -4.5746 -3.6180
      4  -4.1333  0.5283    -4.6596 -3.9542
      5  -4.2861  0.5515    -4.7976 -4.1064
      6  -4.2145  0.3403    -4.4767 -4.1054
      7  -4.2280  0.2608    -4.4761 -4.2234
      8  -4.2206  0.1798    -4.4734 -4.2239
      9  -4.3066  0.4536    -4.7307 -4.2237
     10  -4.2847  0.3373    -4.7063 -4.2251
     11  -4.2770  0.2555    -4.6957 -4.2261
     12  -4.2783  0.2019    -4.6941 -4.2285
     13  -4.2307  0.1566    -4.5538 -4.2255
     14  -4.2312  0.1232    -4.5503 -4.2265
     15  -4.2315  0.1016    -4.5479 -4.2271
     16  -4.2319  0.0880    -4.5460 -4.2278
     17  -4.2290  0.0754    -4.5097 -4.2278
     18  -4.2280  0.0690    -4.4942 -4.2278
     19  -4.2285  0.0655    -4.4941 -4.2283

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0980  0.0594     0.0045  0.1891
      1   0.0952  0.0595     0.0041  0.1885
      2   0.1028  0.0587     0.0057  0.1900
      3   0.1040  0.0582     0.0064  0.1902
      4   0.1073  0.0574     0.0086  0.1907
      5   0.1061  0.0581     0.0067  0.1906
      6   0.1167  0.0542     0.0196  0.1920
      7   0.1235  0.0513     0.0285  0.1928
      8   0.1252  0.0499     0.0339  0.1929
      9   0.0670  0.0407     0.0075  0.1425
     10   0.0708  0.0398     0.0134  0.1448
     11   0.0726  0.0392     0.0166  0.1458
     12   0.0738  0.0387     0.0190  0.1465
     13   0.0804  0.0403     0.0218  0.1550
     14   0.0810  0.0400     0.0231  0.1553
     15   0.0816  0.0397     0.0241  0.1555
     16   0.0822  0.0395     0.0252  0.1559
     17   0.0833  0.0392     0.0270  0.1564
     18   0.0837  0.0390     0.0279  0.1566
     19   0.0844  0.0388     0.0287  0.1570

