trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1375 770.00  0.00 800.00  8.60  1
  1  971 540.00  0.00 800.00 520.00  0
  2  683 380.00  0.00 800.00 520.00  0
  3  754 420.00  0.00 800.00 260.00  0
  4  646 360.00  0.00 800.00 260.00  0
  5  735 410.00  0.00 800.00 156.00  0
  6  698 390.00  0.00 800.00 104.00  0
  7  733 410.00  0.00 800.00 52.00  1
  8  841 470.00  0.00 800.00 52.00  1
  9  716 400.00  0.00 800.00 104.00  0
 10  823 460.00  0.00 800.00 52.00  1
 11  734 410.00  0.00 800.00 104.00  0
 12  572 320.00  0.00 800.00 104.00  0
 13  679 380.00  0.00 800.00 52.00  1
 14  608 340.00  0.00 800.00 104.00  0
 15  643 360.00  0.00 800.00 52.00  1
 16  626 350.00  0.00 800.00 104.00  0
 17  644 360.00  0.00 800.00 104.00  0
 18  679 380.00  0.00 800.00 52.00  1
 19  662 370.00  0.00 800.00 104.00  0
