  0 1375 770.00  0.00 800.00  8.60  0
  1  694 390.00  0.00 800.00 17.20  1
  2  608 340.00  0.00 800.00 104.00  0
  3  822 460.00  0.00 800.00 26.00  1
  4  679 380.00  0.00 800.00 52.00  1
  5  769 430.00  0.00 800.00 52.00  1
  6  626 350.00  0.00 800.00 104.00  0
  7  751 420.00  0.00 800.00 52.00  1
  8  626 340.00  0.00 800.00 156.00  0
  9  859 480.00  0.00 800.00 52.00  1
 10  626 330.00  0.00 800.00 156.00  0
 11  626 360.00  0.00 800.00 156.00  0
 12  626 360.00  0.00 800.00 52.00  1
 13  608 340.00  0.00 800.00 104.00  0
 14  626 340.00  0.00 800.00 52.00  1
 15  626 340.00  0.00 800.00 52.00  1
 16  626 360.00  0.00 800.00 52.00  1
 17  626 330.00  0.00 800.00 156.00  0
 18  626 360.00  0.00 800.00 156.00  0
 19  626 370.00  0.00 800.00 52.00  1
