Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -7.7270  1.2885    -5.1511 -6.4776
      1  -6.9811  1.0692    -8.1027 -5.9757
      2  -6.7078  0.9500    -7.5034 -5.8575
      3  -6.3182  1.1268    -7.1012 -4.1415
      4  -5.5783  1.7322    -7.3805 -1.4757
      5  -4.5520  2.1091    -8.0030 -0.6935
      6  -4.5729  1.9633    -7.2881 -0.7810
      7  -3.3567  2.2024    -7.8045 -0.3569
      8  -3.1767  2.0386    -6.9068 -0.3531
      9  -2.2914  1.9601    -6.7803 -0.2081
     10  -2.0657  1.7146    -5.5470 -0.1972
     11  -1.4895  1.5354    -4.5973 -0.1307
     12  -1.1228  1.3594    -3.3909 -0.0967
     13  -1.0013  1.1104    -2.6825 -0.0942
     14  -1.3919  1.1958    -3.2193 -0.2048
     15  -1.1013  1.1014    -2.5699 -0.1404
     16  -1.3552  1.1033    -2.8313 -0.2888
     17  -1.5886  1.0726    -3.0485 -0.5421
     18  -1.5197  0.8954    -2.8190 -0.5434
     19  -1.3069  0.8445    -2.4336 -0.3981

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0987  0.0607     0.0001  0.1896
      1   0.0963  0.0618     0.0001  0.1895
      2   0.0988  0.0613     0.0001  0.1899
      3   0.0873  0.0644     0.0001  0.1886
      4   0.0251  0.0300     0.0000  0.0847
      5   0.0066  0.0068     0.0000  0.0168
      6   0.0080  0.0067     0.0000  0.0181
      7   0.0050  0.0036     0.0000  0.0068
      8   0.0059  0.0032     0.0000  0.0069
      9   0.0058  0.0030     0.0000  0.0068
     10   0.0064  0.0025     0.0000  0.0068
     11   0.0065  0.0024     0.0001  0.0068
     12   0.0067  0.0023     0.0001  0.0069
     13   0.0070  0.0019     0.0002  0.0069
     14   0.0068  0.0019     0.0001  0.0068
     15   0.0069  0.0019     0.0001  0.0068
     16   0.0069  0.0020     0.0001  0.0068
     17   0.0069  0.0020     0.0001  0.0069
     18   0.0071  0.0017     0.0003  0.0069
     19   0.0071  0.0017     0.0003  0.0069

