Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6133  2.7295    -9.0004 -0.4864
      1  -2.3013  1.4586    -4.5798 -0.2504
      2  -1.1390  0.9153    -2.3311 -0.1303
      3  -0.5155  0.7595    -1.1871 -0.0647
      4  -0.2524  0.7366    -0.7105 -0.0372
      5  -0.3742  0.7235    -0.7835 -0.1478
      6  -0.3062  0.5475    -0.5349 -0.1381
      7  -0.3039  0.4170    -0.5338 -0.2774
      8  -0.2872  0.2976    -0.5313 -0.2776
      9  -0.2746  0.2163    -0.5253 -0.2777
     10  -0.2725  0.1587    -0.5250 -0.2793
     11  -0.2759  0.1176    -0.5251 -0.2845
     12  -0.3193  0.3371    -0.7015 -0.2843
     13  -0.2920  0.2556    -0.5344 -0.2836
     14  -0.2876  0.1887    -0.5338 -0.2843
     15  -0.2831  0.1377    -0.5320 -0.2844
     16  -0.2822  0.1057    -0.5318 -0.2849
     17  -0.2818  0.0841    -0.5316 -0.2853
     18  -0.2815  0.0703    -0.5315 -0.2855
     19  -0.2814  0.0616    -0.5314 -0.2857

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1019  0.0587     0.0070  0.1898
      1   0.1020  0.0586     0.0071  0.1899
      2   0.1025  0.0584     0.0079  0.1899
      3   0.1024  0.0583     0.0082  0.1899
      4   0.1044  0.0578     0.0095  0.1902
      5   0.1026  0.0587     0.0083  0.1901
      6   0.1124  0.0559     0.0155  0.1915
      7   0.1204  0.0531     0.0224  0.1925
      8   0.1219  0.0520     0.0265  0.1926
      9   0.1266  0.0495     0.0340  0.1931
     10   0.1278  0.0486     0.0374  0.1932
     11   0.1327  0.0462     0.0458  0.1937
     12   0.0801  0.0428     0.0164  0.1585
     13   0.0867  0.0424     0.0215  0.1630
     14   0.0875  0.0419     0.0232  0.1633
     15   0.0884  0.0415     0.0251  0.1637
     16   0.0889  0.0412     0.0265  0.1639
     17   0.0895  0.0410     0.0278  0.1641
     18   0.0898  0.0408     0.0284  0.1642
     19   0.0903  0.0406     0.0292  0.1644

