Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.6578  1.6746    -5.2416 -0.2837
      1  -3.7931  1.0697    -5.3903 -2.4562
      2  -3.0688  0.7398    -3.9633 -2.3873
      3  -2.6556  0.6408    -3.2619 -2.2049
      4  -2.3934  0.7108    -2.8918 -1.8655
      5  -2.1634  1.1867    -3.7406 -0.7275
      6  -2.2862  0.9290    -3.0602 -1.6406
      7  -2.1629  0.8516    -2.6662 -1.5092
      8  -2.1914  0.6570    -2.6180 -1.9223
      9  -2.1354  0.5228    -2.4931 -1.9231
     10  -2.1433  0.3960    -2.4749 -2.1147
     11  -2.1451  0.3166    -2.4787 -2.1225
     12  -2.1289  0.2311    -2.3746 -2.1227
     13  -2.1177  0.1720    -2.3669 -2.1228
     14  -2.1182  0.1290    -2.3667 -2.1249
     15  -2.1157  0.0935    -2.3655 -2.1250
     16  -2.1137  0.0680    -2.3640 -2.1251
     17  -2.1142  0.0512    -2.3640 -2.1257
     18  -2.1131  0.0372    -2.3631 -2.1257
     19  -2.1128  0.0277    -2.3628 -2.1258

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1001  0.0596     0.0041  0.1897
      1   0.1000  0.0595     0.0045  0.1896
      2   0.1004  0.0591     0.0052  0.1896
      3   0.1005  0.0594     0.0049  0.1897
      4   0.0933  0.0605     0.0024  0.1883
      5   0.0401  0.0395     0.0001  0.1205
      6   0.0505  0.0416     0.0001  0.1322
      7   0.0556  0.0446     0.0003  0.1432
      8   0.0646  0.0449     0.0029  0.1503
      9   0.0719  0.0454     0.0061  0.1565
     10   0.0787  0.0446     0.0118  0.1608
     11   0.0852  0.0447     0.0166  0.1659
     12   0.0885  0.0437     0.0217  0.1674
     13   0.0933  0.0429     0.0268  0.1700
     14   0.0969  0.0422     0.0312  0.1719
     15   0.0979  0.0417     0.0336  0.1722
     16   0.0998  0.0411     0.0364  0.1730
     17   0.1027  0.0406     0.0396  0.1747
     18   0.1058  0.0401     0.0429  0.1763
     19   0.1085  0.0397     0.0456  0.1777

