Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6207  2.7265    -9.0013 -0.4933
      1  -2.3079  1.4584    -4.5817 -0.2539
      2  -1.1587  0.9223    -2.3523 -0.1333
      3  -1.6652  0.6919    -2.4659 -1.0906
      4  -2.0691  0.6293    -2.6623 -1.7229
      5  -2.2290  0.6160    -2.8998 -1.9546
      6  -2.6352  0.9768    -4.4557 -2.1252
      7  -2.4089  0.6771    -3.0769 -2.1200
      8  -2.2904  0.7879    -2.9005 -1.9295
      9  -2.1956  0.6818    -2.6216 -1.9034
     10  -2.4118  1.0170    -3.6295 -1.9138
     11  -2.3187  0.9859    -3.2234 -1.8654
     12  -2.2281  0.7527    -2.6345 -1.8850
     13  -2.2103  0.5813    -2.6188 -1.9944
     14  -2.1585  0.4884    -2.5643 -1.9757
     15  -2.1546  0.3742    -2.5548 -2.1073
     16  -2.1288  0.2960    -2.4516 -2.1018
     17  -2.1302  0.2268    -2.4479 -2.1189
     18  -2.2044  0.4218    -2.6077 -2.1192
     19  -2.2916  0.5191    -2.6335 -2.1268

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1019  0.0586     0.0070  0.1899
      1   0.1022  0.0585     0.0073  0.1899
      2   0.1026  0.0582     0.0083  0.1899
      3   0.1021  0.0584     0.0079  0.1898
      4   0.0992  0.0591     0.0057  0.1893
      5   0.0976  0.0590     0.0052  0.1888
      6   0.0496  0.0442     0.0004  0.1395
      7   0.0608  0.0452     0.0022  0.1494
      8   0.0480  0.0358     0.0007  0.1147
      9   0.0540  0.0378     0.0023  0.1238
     10   0.0316  0.0236     0.0001  0.0729
     11   0.0324  0.0235     0.0001  0.0731
     12   0.0353  0.0231     0.0009  0.0750
     13   0.0384  0.0229     0.0033  0.0774
     14   0.0416  0.0236     0.0053  0.0816
     15   0.0442  0.0233     0.0083  0.0834
     16   0.0473  0.0235     0.0104  0.0869
     17   0.0496  0.0232     0.0135  0.0885
     18   0.0343  0.0167     0.0068  0.0610
     19   0.0303  0.0158     0.0038  0.0552

