Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.2464  2.0968    -7.5309 -0.1932
      1  -3.5574  2.0649    -8.4160 -1.8764
      2  -5.0457  2.1033    -8.9637 -2.9072
      3  -3.5408  0.9900    -5.1824 -2.7541
      4  -4.0738  0.9524    -5.6219 -3.2457
      5  -4.4753  0.9156    -6.1091 -3.7334
      6  -4.1199  0.7109    -4.9752 -3.5993
      7  -4.3119  0.7274    -5.2497 -3.9002
      8  -4.2071  0.5663    -4.7344 -3.9015
      9  -4.2579  0.4729    -4.7346 -4.0458
     10  -4.2135  0.3698    -4.6025 -4.0423
     11  -4.2037  0.2774    -4.5258 -4.0526
     12  -4.1983  0.2136    -4.4771 -4.0596
     13  -4.1961  0.1710    -4.4750 -4.0647
     14  -4.1995  0.1385    -4.4748 -4.0832
     15  -4.2020  0.1177    -4.4747 -4.0994
     16  -4.2010  0.1064    -4.4737 -4.1009
     17  -4.1992  0.0980    -4.4716 -4.1020
     18  -4.2009  0.0914    -4.4716 -4.1141
     19  -4.1999  0.0878    -4.4705 -4.1149

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0911  0.0609     0.0010  0.1880
      1   0.0815  0.0607     0.0006  0.1855
      2   0.0549  0.0504     0.0001  0.1644
      3   0.0731  0.0569     0.0005  0.1797
      4   0.0516  0.0433     0.0002  0.1395
      5   0.0431  0.0362     0.0003  0.1136
      6   0.0485  0.0387     0.0004  0.1242
      7   0.0453  0.0369     0.0001  0.1171
      8   0.0529  0.0387     0.0020  0.1272
      9   0.0598  0.0406     0.0043  0.1365
     10   0.0672  0.0413     0.0084  0.1438
     11   0.0694  0.0406     0.0117  0.1450
     12   0.0713  0.0401     0.0145  0.1461
     13   0.0724  0.0398     0.0160  0.1467
     14   0.0732  0.0394     0.0175  0.1471
     15   0.0739  0.0392     0.0189  0.1475
     16   0.0745  0.0390     0.0200  0.1478
     17   0.0756  0.0388     0.0213  0.1485
     18   0.0761  0.0386     0.0221  0.1488
     19   0.0768  0.0384     0.0229  0.1492

