Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -7.8649  1.3064    -4.5380 -6.4864
      1  -7.2599  1.1374    -8.4110 -5.9743
      2  -6.9771  1.0411    -7.8265 -5.7904
      3  -6.8108  0.9914    -7.5195 -5.6140
      4  -6.5357  1.1372    -7.3332 -4.4003
      5  -5.7981  1.6468    -7.2658 -1.7979
      6  -4.7168  1.9954    -7.4581 -0.8116
      7  -3.4702  2.2906    -8.0769 -0.3591
      8  -3.2651  2.1294    -7.3429 -0.3482
      9  -4.1033  1.8180    -7.3870 -1.0391
     10  -4.0626  1.6562    -6.7074 -1.2338
     11  -3.3771  1.6290    -6.3471 -0.8396
     12  -3.3007  1.4808    -5.7970 -0.9038
     13  -3.8263  1.2512    -5.9641 -2.0183
     14  -3.4171  1.1686    -5.2729 -1.7109
     15  -3.7474  1.0375    -5.4654 -2.4515
     16  -3.5057  0.9532    -4.9208 -2.3124
     17  -3.6929  0.8549    -4.9993 -2.7131
     18  -3.5320  0.7780    -4.6625 -2.6445
     19  -3.6514  0.6992    -4.7130 -2.8922

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0979  0.0609     0.0001  0.1894
      1   0.0950  0.0617     0.0001  0.1890
      2   0.0962  0.0616     0.0001  0.1892
      3   0.0963  0.0616     0.0001  0.1892
      4   0.0789  0.0605     0.0001  0.1834
      5   0.0244  0.0266     0.0000  0.0757
      6   0.0077  0.0067     0.0000  0.0177
      7   0.0045  0.0036     0.0000  0.0066
      8   0.0054  0.0033     0.0000  0.0067
      9   0.0055  0.0033     0.0000  0.0068
     10   0.0062  0.0029     0.0000  0.0069
     11   0.0061  0.0028     0.0000  0.0068
     12   0.0066  0.0023     0.0001  0.0068
     13   0.0067  0.0023     0.0001  0.0069
     14   0.0068  0.0023     0.0001  0.0069
     15   0.0068  0.0023     0.0001  0.0069
     16   0.0070  0.0023     0.0001  0.0074
     17   0.0071  0.0024     0.0001  0.0086
     18   0.0073  0.0024     0.0002  0.0096
     19   0.0075  0.0025     0.0003  0.0104

