trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1132 630.00  0.00 800.00 260.00  0
  1  661 370.00  0.00 800.00 52.00  0
  2  744 420.00  0.00 800.00  6.44  1
  3  694 390.00  0.00 800.00 17.20  1
  4  732 410.00  0.00 800.00 26.00  1
  5  822 460.00  0.00 800.00 26.00  1
  6  679 380.00  0.00 800.00 52.00  0
  7  571 320.00  0.00 800.00 52.00  0
  8  822 460.00  0.00 800.00 26.00  1
  9  804 450.00  0.00 800.00 26.00  1
 10  804 450.00  0.00 800.00 52.00  0
 11  804 450.00  0.00 800.00 21.50  1
 12  804 450.00  0.00 800.00 21.50  1
 13  804 430.00  0.00 800.00 21.50  1
 14  804 470.00  0.00 800.00 52.00  0
 15  804 430.00  0.00 800.00 21.50  1
 16  804 440.00  0.00 800.00 21.50  1
 17  804 460.00  0.00 800.00 21.50  1
 18  804 440.00  0.00 800.00 52.00  0
 19  804 430.00  0.00 800.00 21.50  1
