Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.3445  1.4474    -4.1210 -0.1315
      1  -2.0506  1.4012    -5.6232 -1.2785
      2  -2.4529  1.5278    -6.7368 -1.6733
      3  -2.0562  1.0933    -3.6759 -1.6128
      4  -2.0153  0.8832    -2.5430 -1.8502
      5  -2.6264  1.6460    -7.2195 -1.7689
      6  -2.2816  1.1787    -4.7350 -1.8508
      7  -2.3392  1.1046    -4.3149 -1.8933
      8  -2.2065  0.8248    -2.6198 -1.9013
      9  -2.2384  1.1972    -4.8262 -1.7937
     10  -2.1415  1.1479    -4.2796 -1.7241
     11  -2.4519  1.5203    -6.7462 -1.6719
     12  -2.2474  1.1583    -4.5312 -1.7665
     13  -2.1292  0.8622    -2.6362 -1.8230
     14  -2.1812  0.8168    -2.6660 -1.8725
     15  -2.1745  0.6792    -2.5944 -1.9113
     16  -2.1258  0.5072    -2.4211 -1.9151
     17  -2.0966  0.4140    -2.3693 -1.9078
     18  -2.1124  0.3372    -2.3692 -1.9767
     19  -2.1063  0.2517    -2.3680 -1.9980

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0953  0.0619     0.0001  0.1892
      1   0.0919  0.0633     0.0001  0.1888
      2   0.0873  0.0644     0.0001  0.1882
      3   0.0970  0.0615     0.0001  0.1893
      4   0.1081  0.0586     0.0018  0.1910
      5   0.0475  0.0446     0.0000  0.1345
      6   0.0569  0.0443     0.0001  0.1414
      7   0.0611  0.0469     0.0001  0.1511
      8   0.0684  0.0459     0.0005  0.1555
      9   0.0410  0.0295     0.0000  0.0918
     10   0.0428  0.0298     0.0001  0.0940
     11   0.0287  0.0230     0.0000  0.0672
     12   0.0314  0.0222     0.0001  0.0685
     13   0.0330  0.0216     0.0001  0.0692
     14   0.0349  0.0228     0.0003  0.0737
     15   0.0385  0.0234     0.0019  0.0782
     16   0.0410  0.0229     0.0052  0.0798
     17   0.0439  0.0232     0.0078  0.0830
     18   0.0475  0.0237     0.0100  0.0874
     19   0.0485  0.0233     0.0123  0.0879

