Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.4564  1.6305    -4.8802 -0.2597
      1  -1.1974  1.0758    -2.3653 -0.1312
      2  -1.6962  0.8627    -2.5051 -1.0828
      3  -1.9535  0.7536    -2.6027 -1.5883
      4  -1.7680  0.6156    -2.2032 -1.4851
      5  -1.9117  0.6007    -2.3141 -1.6890
      6  -1.8922  0.4569    -2.2821 -1.7352
      7  -1.8787  0.3553    -2.2628 -1.7514
      8  -1.8440  0.2444    -2.1057 -1.7391
      9  -1.8336  0.1815    -2.1009 -1.7352
     10  -1.8298  0.1396    -2.0996 -1.7351
     11  -1.8303  0.1117    -2.0995 -1.7464
     12  -1.8556  0.2071    -2.1058 -1.8559
     13  -1.8571  0.1560    -2.1055 -1.8604
     14  -1.9171  0.3703    -2.3236 -1.8612
     15  -1.8822  0.2881    -2.2277 -1.8601
     16  -1.9916  0.5363    -2.3668 -1.8629
     17  -2.0902  0.6165    -2.5126 -1.8750
     18  -2.1361  0.5788    -2.5566 -1.9009
     19  -2.1480  0.4937    -2.5455 -1.9469

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0989  0.0600     0.0033  0.1895
      1   0.1003  0.0596     0.0036  0.1897
      2   0.1005  0.0597     0.0039  0.1898
      3   0.1016  0.0592     0.0049  0.1899
      4   0.1057  0.0576     0.0088  0.1904
      5   0.1065  0.0575     0.0086  0.1905
      6   0.1103  0.0556     0.0151  0.1910
      7   0.1120  0.0545     0.0190  0.1911
      8   0.1196  0.0517     0.0283  0.1921
      9   0.1240  0.0497     0.0348  0.1926
     10   0.1262  0.0484     0.0388  0.1928
     11   0.1270  0.0478     0.0410  0.1929
     12   0.0917  0.0449     0.0230  0.1720
     13   0.0956  0.0441     0.0275  0.1739
     14   0.0547  0.0291     0.0109  0.1054
     15   0.0592  0.0293     0.0150  0.1098
     16   0.0380  0.0199     0.0057  0.0707
     17   0.0338  0.0187     0.0031  0.0647
     18   0.0350  0.0199     0.0033  0.0682
     19   0.0376  0.0208     0.0046  0.0726

