trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1164 650.00  0.00 800.00 26.00  0
  1  656 370.00  0.00 800.00 10.80  0
  2  652 370.00  0.00 800.00  3.00  1
  3  707 400.00  0.00 800.00  4.30  1
  4  744 420.00  0.00 800.00  6.44  0
  5  654 370.00  0.00 800.00  6.44  1
  6  654 390.00  0.00 800.00  4.30  1
  7  654 350.00  0.00 800.00  4.30  1
  8  655 370.00  0.00 800.00  8.60  0
  9  654 370.00  0.00 800.00  8.60  0
 10  654 380.00  0.00 800.00  8.60  0
 11  654 370.00  0.00 800.00  4.30  1
 12  654 360.00  0.00 800.00  8.60  1
 13  636 360.00  0.00 800.00  6.44  1
 14  762 430.00  0.00 800.00  6.44  1
 15  673 380.00  0.00 800.00  8.60  0
 16  780 440.00  0.00 800.00  6.44  1
 17  762 430.00  0.00 800.00  6.44  1
 18  744 420.00  0.00 800.00  6.44  1
 19  726 410.00  0.00 800.00  6.44  1
