Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6148  2.7288    -9.0006 -0.4882
      1  -6.9116  1.4644    -8.3960 -4.8877
      2  -5.6324  0.8348    -6.8077 -4.7641
      3  -5.0889  0.6367    -5.7925 -4.5888
      4  -5.3980  0.5064    -5.9809 -5.1327
      5  -5.2397  0.4717    -5.7149 -5.0345
      6  -5.2408  0.3696    -5.6811 -5.0548
      7  -5.2696  0.2544    -5.6790 -5.1607
      8  -5.2775  0.1947    -5.6758 -5.2121
      9  -5.2812  0.1584    -5.6734 -5.2520
     10  -5.2887  0.1317    -5.6742 -5.2739
     11  -5.2924  0.1148    -5.6738 -5.2778
     12  -5.2902  0.1005    -5.6637 -5.2778
     13  -5.2889  0.0928    -5.6566 -5.2778
     14  -5.2897  0.0890    -5.6563 -5.2786
     15  -5.2891  0.0863    -5.6528 -5.2786
     16  -5.2906  0.0831    -5.6534 -5.2802
     17  -5.2899  0.0811    -5.6492 -5.2801
     18  -5.2900  0.0805    -5.6490 -5.2803
     19  -5.2901  0.0801    -5.6488 -5.2805

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1019  0.0587     0.0070  0.1898
      1   0.1017  0.0587     0.0069  0.1898
      2   0.1007  0.0591     0.0056  0.1897
      3   0.1005  0.0592     0.0054  0.1897
      4   0.1020  0.0589     0.0064  0.1899
      5   0.1027  0.0585     0.0068  0.1900
      6   0.1055  0.0571     0.0115  0.1903
      7   0.1107  0.0548     0.0185  0.1909
      8   0.1129  0.0535     0.0226  0.1911
      9   0.1144  0.0527     0.0255  0.1913
     10   0.1173  0.0516     0.0289  0.1916
     11   0.1194  0.0507     0.0316  0.1919
     12   0.1200  0.0502     0.0333  0.1919
     13   0.1205  0.0498     0.0346  0.1920
     14   0.1213  0.0494     0.0359  0.1921
     15   0.1215  0.0492     0.0365  0.1921
     16   0.1228  0.0486     0.0383  0.1922
     17   0.1230  0.0484     0.0390  0.1922
     18   0.1234  0.0482     0.0398  0.1923
     19   0.1236  0.0481     0.0403  0.1923

