trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  380 220.00  0.00 800.00  1.00  1
  1  716 400.00  0.00 800.00 104.00  0
  2  745 420.00  0.00 800.00  8.60  0
  3  742 420.00  0.00 800.00  3.00  1
  4  654 370.00  0.00 800.00  6.44  0
  5  707 400.00  0.00 800.00  4.30  1
  6  672 380.00  0.00 800.00  6.44  1
  7  654 370.00  0.00 800.00  6.44  1
  8  709 400.00  0.00 800.00  8.60  0
  9  691 390.00  0.00 800.00  8.60  0
 10  636 360.00  0.00 800.00  6.44  0
 11  654 370.00  0.00 800.00  6.44  0
 12  599 340.00  0.00 800.00  4.30  1
 13  672 380.00  0.00 800.00  6.44  1
 14  654 370.00  0.00 800.00  6.44  1
 15  853 480.00  0.00 800.00  8.60  0
 16  618 350.00  0.00 800.00  6.44  0
 17  545 310.00  0.00 800.00  4.30  1
 18  672 380.00  0.00 800.00  6.44  0
 19  708 400.00  0.00 800.00  6.44  0
