Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.1766  2.4107    -9.0573 -1.5540
      1  -3.1345  1.2964    -5.1503 -1.3449
      2  -4.1081  0.8039    -5.2405 -3.2059
      3  -3.5731  0.5822    -4.2807 -3.1044
      4  -3.8589  0.4955    -4.4282 -3.5727
      5  -4.0066  0.4774    -4.5543 -3.7807
      6  -3.9404  0.3371    -4.2150 -3.7724
      7  -3.9400  0.2588    -4.2139 -3.7884
      8  -3.9324  0.1930    -4.2108 -3.7916
      9  -3.9295  0.1553    -4.2093 -3.7938
     10  -3.7111  0.9781    -4.9510 -2.8468
     11  -3.6660  0.7616    -4.4652 -2.9894
     12  -3.6982  0.6136    -4.4236 -3.2150
     13  -3.7373  0.5114    -4.4146 -3.3743
     14  -3.6689  0.4379    -4.2131 -3.3385
     15  -3.6058  0.3881    -4.1492 -3.2945
     16  -3.5076  0.4331    -4.0393 -3.1926
     17  -3.5289  0.3540    -4.0357 -3.2534
     18  -3.6190  0.3865    -4.1474 -3.3852
     19  -3.5903  0.3223    -4.0733 -3.3777

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1017  0.0588     0.0067  0.1898
      1   0.1016  0.0588     0.0066  0.1898
      2   0.1012  0.0589     0.0063  0.1897
      3   0.1012  0.0587     0.0068  0.1897
      4   0.1017  0.0585     0.0073  0.1897
      5   0.1002  0.0583     0.0071  0.1893
      6   0.1116  0.0555     0.0148  0.1911
      7   0.1131  0.0544     0.0186  0.1913
      8   0.1148  0.0533     0.0226  0.1914
      9   0.1158  0.0526     0.0250  0.1915
     10   0.0163  0.0113     0.0000  0.0337
     11   0.0172  0.0109     0.0001  0.0341
     12   0.0188  0.0109     0.0007  0.0357
     13   0.0202  0.0111     0.0014  0.0378
     14   0.0217  0.0115     0.0021  0.0398
     15   0.0229  0.0118     0.0027  0.0411
     16   0.0208  0.0107     0.0019  0.0373
     17   0.0220  0.0107     0.0029  0.0386
     18   0.0204  0.0099     0.0022  0.0348
     19   0.0216  0.0100     0.0032  0.0366

