Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.6472  2.1463    -9.1049 -2.4520
      1  -3.8602  1.1711    -5.6859 -2.2627
      2  -2.9452  0.7542    -3.9258 -2.1602
      3  -2.5432  0.6100    -3.1624 -2.1189
      4  -2.2742  0.5729    -2.7825 -1.9349
      5  -2.1183  0.5774    -2.5638 -1.7423
      6  -1.8984  1.1103    -2.9001 -0.7062
      7  -1.6401  1.5213    -5.3794 -0.2909
      8  -1.7342  1.3052    -4.2763 -0.6102
      9  -1.7409  1.0650    -2.7367 -0.9316
     10  -1.6212  1.3223    -4.3465 -0.6317
     11  -1.4782  1.0149    -2.3574 -0.6400
     12  -1.4778  0.8168    -2.2393 -0.8443
     13  -1.5105  0.6769    -2.2084 -1.0519
     14  -1.4194  0.5947    -2.0449 -0.9801
     15  -1.3067  0.6748    -1.9068 -0.8244
     16  -1.3217  0.5476    -1.8828 -0.9331
     17  -1.3427  0.4538    -1.8836 -1.0676
     18  -1.2959  0.3817    -1.8132 -1.0623
     19  -1.2559  0.3282    -1.7592 -1.0310

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1018  0.0588     0.0065  0.1899
      1   0.1018  0.0589     0.0062  0.1899
      2   0.1023  0.0589     0.0064  0.1900
      3   0.1033  0.0586     0.0073  0.1902
      4   0.1028  0.0590     0.0065  0.1902
      5   0.1010  0.0600     0.0053  0.1901
      6   0.0339  0.0317     0.0001  0.0955
      7   0.0137  0.0113     0.0000  0.0324
      8   0.0163  0.0124     0.0001  0.0367
      9   0.0186  0.0128     0.0001  0.0396
     10   0.0140  0.0097     0.0001  0.0287
     11   0.0147  0.0094     0.0001  0.0292
     12   0.0161  0.0095     0.0005  0.0309
     13   0.0174  0.0098     0.0010  0.0326
     14   0.0186  0.0101     0.0013  0.0341
     15   0.0168  0.0093     0.0009  0.0311
     16   0.0180  0.0094     0.0014  0.0324
     17   0.0191  0.0095     0.0019  0.0335
     18   0.0203  0.0097     0.0026  0.0345
     19   0.0214  0.0100     0.0033  0.0366

