Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.6718  2.5012    -7.9135 -0.0522
      1  -1.8049  2.3951    -7.8615 -0.2053
      2  -2.1093  2.3425    -7.9555 -0.3892
      3  -2.7851  2.3852    -8.3117 -0.6549
      4  -2.2993  2.0210    -7.5558 -0.6743
      5  -1.9788  1.6653    -6.2086 -0.6896
      6  -2.7376  1.8187    -7.3296 -1.0197
      7  -2.5141  1.5336    -6.0684 -1.0745
      8  -3.3581  1.7257    -7.3820 -1.4151
      9  -3.2341  1.5380    -6.6354 -1.5346
     10  -2.7879  1.2586    -5.1601 -1.4374
     11  -3.2414  1.3185    -6.0038 -1.8309
     12  -3.1553  1.1304    -5.2353 -1.8947
     13  -3.6833  1.2566    -6.2174 -2.2681
     14  -4.3224  1.4587    -7.3343 -2.5034
     15  -4.3012  1.3185    -6.9527 -2.7235
     16  -3.9270  1.0618    -5.7658 -2.6683
     17  -3.6501  0.9435    -5.1320 -2.5429
     18  -3.6264  0.8352    -4.9864 -2.6007
     19  -3.4095  0.7605    -4.6014 -2.4639

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0573  0.0629     0.0000  0.1791
      1   0.0456  0.0541     0.0000  0.1622
      2   0.0291  0.0382     0.0000  0.1101
      3   0.0119  0.0156     0.0000  0.0398
      4   0.0148  0.0162     0.0000  0.0435
      5   0.0167  0.0163     0.0000  0.0457
      6   0.0088  0.0073     0.0000  0.0197
      7   0.0098  0.0071     0.0000  0.0202
      8   0.0066  0.0041     0.0000  0.0115
      9   0.0072  0.0038     0.0000  0.0118
     10   0.0078  0.0040     0.0001  0.0127
     11   0.0071  0.0035     0.0000  0.0113
     12   0.0075  0.0032     0.0001  0.0115
     13   0.0068  0.0027     0.0001  0.0079
     14   0.0061  0.0026     0.0000  0.0067
     15   0.0066  0.0021     0.0001  0.0067
     16   0.0067  0.0020     0.0001  0.0068
     17   0.0068  0.0020     0.0001  0.0068
     18   0.0070  0.0017     0.0003  0.0069
     19   0.0071  0.0017     0.0003  0.0069

