trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1406 790.00  0.00 800.00  1.00  1
  1  791 440.00  0.00 800.00 520.00  0
  2  753 420.00  0.00 800.00 156.00  0
  3  859 480.00  0.00 800.00 52.00  0
  4  661 370.00  0.00 800.00 52.00  0
  5  785 440.00  0.00 800.00 21.50  1
  6  822 460.00  0.00 800.00 26.00  0
  7  714 400.00  0.00 800.00 26.00  0
  8  694 390.00  0.00 800.00 17.20  1
  9  732 410.00  0.00 800.00 26.00  0
 10  712 400.00  0.00 800.00 17.20  1
 11  750 420.00  0.00 800.00 26.00  0
 12  730 410.00  0.00 800.00 17.20  1
 13  659 370.00  0.00 800.00 21.50  1
 14  750 420.00  0.00 800.00 26.00  0
 15  659 380.00  0.00 800.00 17.20  1
 16  750 410.00  0.00 800.00 21.50  0
 17  677 380.00  0.00 800.00 21.50  1
 18  659 370.00  0.00 800.00 21.50  1
 19  768 430.00  0.00 800.00 26.00  0
