Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.4231  1.6466    -4.8445 -0.2543
      1  -3.5985  1.1728    -5.6483 -2.4231
      2  -4.2009  1.0687    -6.6977 -3.4435
      3  -4.7751  1.1958    -7.9745 -4.0437
      4  -5.1864  1.3436    -8.5468 -4.3360
      5  -6.0378  1.5405    -9.0395 -4.5779
      6  -5.0105  0.7496    -6.3385 -4.5171
      7  -5.3957  0.8607    -7.0513 -4.7730
      8  -5.8253  1.0020    -7.9077 -5.0376
      9  -5.5636  0.6921    -6.6081 -5.0325
     10  -5.4180  0.5672    -6.1729 -5.0070
     11  -5.2591  0.5666    -5.9540 -4.8298
     12  -5.3353  0.4884    -5.9792 -5.0327
     13  -5.2616  0.4283    -5.7794 -5.0153
     14  -5.2233  0.3599    -5.7213 -5.0105
     15  -5.2641  0.2968    -5.7315 -5.0652
     16  -5.2440  0.2439    -5.6695 -5.0611
     17  -5.2522  0.1984    -5.6672 -5.0803
     18  -5.2571  0.1689    -5.6654 -5.0938
     19  -5.2779  0.1441    -5.6814 -5.1830

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0985  0.0602     0.0031  0.1895
      1   0.0967  0.0607     0.0027  0.1892
      2   0.0952  0.0611     0.0028  0.1890
      3   0.0858  0.0624     0.0016  0.1873
      4   0.0753  0.0622     0.0014  0.1849
      5   0.0359  0.0386     0.0007  0.1217
      6   0.0531  0.0450     0.0016  0.1469
      7   0.0308  0.0254     0.0007  0.0774
      8   0.0202  0.0159     0.0002  0.0479
      9   0.0241  0.0167     0.0008  0.0530
     10   0.0270  0.0176     0.0015  0.0574
     11   0.0253  0.0159     0.0013  0.0521
     12   0.0275  0.0166     0.0021  0.0552
     13   0.0296  0.0173     0.0031  0.0590
     14   0.0319  0.0179     0.0047  0.0619
     15   0.0345  0.0184     0.0070  0.0656
     16   0.0367  0.0186     0.0082  0.0679
     17   0.0376  0.0184     0.0092  0.0684
     18   0.0383  0.0182     0.0101  0.0688
     19   0.0405  0.0187     0.0115  0.0720

