Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.3636  2.3993    -7.6574 -0.0438
      1  -1.1698  2.3785    -7.5288 -0.0295
      2  -0.7273  1.9659    -6.3709 -0.0262
      3  -0.3994  1.4869    -3.7302 -0.0248
      4  -2.7801  3.0673    -8.6782 -0.0457
      5  -2.0101  2.8719    -8.3620 -0.0355
      6  -1.3068  2.4840    -7.7361 -0.0302
      7  -0.7826  1.9967    -6.4890 -0.0275
      8  -0.4498  1.5231    -4.0379 -0.0261
      9  -0.2568  1.1427    -0.7841 -0.0251
     10  -0.1503  0.8615    -0.4483 -0.0244
     11  -0.0887  0.6415    -0.2912 -0.0239
     12  -0.0538  0.4748    -0.2682 -0.0236
     13  -0.0344  0.3510    -0.2648 -0.0235
     14  -0.0235  0.2604    -0.2626 -0.0233
     15  -0.0177  0.1842    -0.2621 -0.0233
     16  -0.0211  0.2409    -0.2618 -0.0233
     17  -0.0161  0.1771    -0.2610 -0.0233
     18  -0.0134  0.1301    -0.2605 -0.0232
     19  -0.0119  0.0959    -0.2602 -0.0232

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0737  0.0676     0.0000  0.1862
      1   0.0818  0.0681     0.0000  0.1879
      2   0.0993  0.0649     0.0000  0.1905
      3   0.1092  0.0598     0.0001  0.1913
      4   0.0149  0.0251     0.0000  0.0655
      5   0.0214  0.0276     0.0000  0.0739
      6   0.0273  0.0286     0.0000  0.0795
      7   0.0318  0.0284     0.0000  0.0827
      8   0.0347  0.0280     0.0001  0.0848
      9   0.0378  0.0275     0.0001  0.0870
     10   0.0412  0.0273     0.0025  0.0895
     11   0.0440  0.0270     0.0056  0.0920
     12   0.0466  0.0268     0.0084  0.0942
     13   0.0491  0.0267     0.0108  0.0962
     14   0.0515  0.0267     0.0136  0.0986
     15   0.0518  0.0265     0.0143  0.0988
     16   0.0439  0.0217     0.0114  0.0812
     17   0.0456  0.0216     0.0136  0.0825
     18   0.0473  0.0216     0.0149  0.0842
     19   0.0489  0.0216     0.0162  0.0859

