Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.6446  2.2092    -7.1880 -0.3837
      1  -1.6839  1.1892    -3.3632 -0.1844
      2  -0.8979  0.8761    -1.8364 -0.1037
      3  -0.5065  0.7467    -1.1502 -0.0642
      4  -0.2488  0.7264    -0.7027 -0.0371
      5  -0.3696  0.7131    -0.7768 -0.1455
      6  -0.3043  0.5404    -0.5347 -0.1366
      7  -0.3157  1.0837    -0.7863 -0.0319
      8  -0.4483  1.1750    -1.2259 -0.0549
      9  -0.3667  0.9182    -0.7644 -0.0628
     10  -0.8454  1.9475    -6.3905 -0.0354
     11  -0.5279  1.4860    -3.8895 -0.0335
     12  -0.3465  1.1026    -1.0536 -0.0325
     13  -1.0547  1.9740    -6.6237 -0.0586
     14  -0.7271  1.5252    -4.3762 -0.0547
     15  -0.5358  1.1473    -1.5541 -0.0527
     16  -0.4321  0.8600    -1.2285 -0.0517
     17  -0.8196  1.3639    -3.2790 -0.0854
     18  -0.6718  1.0387    -1.6987 -0.0829
     19  -0.5920  0.8009    -1.5111 -0.0817

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1007  0.0591     0.0058  0.1897
      1   0.1010  0.0591     0.0055  0.1897
      2   0.1018  0.0588     0.0066  0.1899
      3   0.1027  0.0581     0.0085  0.1899
      4   0.1043  0.0579     0.0093  0.1902
      5   0.1026  0.0587     0.0082  0.1901
      6   0.1123  0.0560     0.0152  0.1915
      7   0.0542  0.0388     0.0008  0.1275
      8   0.0485  0.0363     0.0001  0.1161
      9   0.0533  0.0365     0.0027  0.1208
     10   0.0207  0.0170     0.0000  0.0493
     11   0.0225  0.0165     0.0001  0.0505
     12   0.0235  0.0162     0.0002  0.0512
     13   0.0098  0.0074     0.0000  0.0203
     14   0.0107  0.0071     0.0000  0.0206
     15   0.0113  0.0069     0.0001  0.0208
     16   0.0116  0.0067     0.0004  0.0210
     17   0.0077  0.0037     0.0001  0.0123
     18   0.0080  0.0035     0.0002  0.0124
     19   0.0082  0.0033     0.0003  0.0125

