Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.9996  1.9631    -9.1418 -3.1023
      1  -4.2044  1.0240    -5.7207 -2.8826
      2  -3.4171  0.7377    -4.2464 -2.6542
      3  -2.9896  0.7123    -3.6239 -2.2977
      4  -2.7864  0.7030    -3.3250 -2.0266
      5  -2.5303  0.8463    -3.1460 -1.4919
      6  -2.2266  1.0387    -3.1003 -0.9602
      7  -2.4045  0.8263    -3.0379 -1.6839
      8  -2.2187  1.0368    -3.1310 -1.2400
      9  -2.2617  0.8255    -2.8821 -1.6645
     10  -2.2931  0.6692    -2.8530 -1.9060
     11  -2.1966  0.6532    -2.6609 -1.8569
     12  -2.3530  0.8217    -2.9045 -1.9043
     13  -2.3307  0.6411    -2.8487 -2.0202
     14  -2.3886  0.5987    -2.8755 -2.1299
     15  -2.3434  0.4683    -2.7855 -2.1303
     16  -2.3743  0.4021    -2.8016 -2.1646
     17  -2.3778  0.8483    -2.9861 -1.9686
     18  -2.3122  0.6409    -2.8265 -1.9918
     19  -2.2710  0.4949    -2.7329 -2.0047

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1034  0.0583     0.0069  0.1901
      1   0.1026  0.0588     0.0052  0.1900
      2   0.1013  0.0594     0.0041  0.1898
      3   0.0966  0.0608     0.0023  0.1892
      4   0.0924  0.0612     0.0023  0.1885
      5   0.0630  0.0531     0.0005  0.1686
      6   0.0306  0.0284     0.0001  0.0852
      7   0.0384  0.0309     0.0003  0.0963
      8   0.0240  0.0192     0.0001  0.0581
      9   0.0278  0.0198     0.0003  0.0620
     10   0.0313  0.0204     0.0016  0.0666
     11   0.0318  0.0209     0.0017  0.0680
     12   0.0252  0.0163     0.0001  0.0525
     13   0.0273  0.0162     0.0016  0.0540
     14   0.0283  0.0167     0.0021  0.0561
     15   0.0304  0.0167     0.0040  0.0583
     16   0.0326  0.0174     0.0057  0.0615
     17   0.0188  0.0108     0.0001  0.0346
     18   0.0199  0.0105     0.0011  0.0354
     19   0.0209  0.0103     0.0021  0.0365

