Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -7.4460  1.3196    -6.2946 -5.9421
      1  -6.5873  0.9653    -7.7243 -5.8037
      2  -6.1715  0.8256    -6.9353 -5.5691
      3  -5.8587  0.8664    -6.5325 -4.9025
      4  -5.5239  1.1254    -6.3515 -3.1246
      5  -4.7701  1.6812    -6.8804 -1.1347
      6  -5.2522  1.2181    -6.5251 -2.7285
      7  -5.4417  0.9604    -6.3305 -4.2581
      8  -5.1271  1.2459    -6.7004 -2.5271
      9  -5.1884  0.9848    -6.2188 -3.8183
     10  -5.2890  0.7774    -6.1190 -4.5901
     11  -5.3647  0.6310    -6.0842 -4.9159
     12  -5.4708  0.6110    -6.2025 -5.0730
     13  -5.4297  0.5090    -6.0290 -5.0793
     14  -5.4992  0.4576    -6.0474 -5.2684
     15  -5.6057  0.6924    -6.3421 -5.2395
     16  -5.6069  0.5434    -6.2594 -5.2876
     17  -5.5957  0.4397    -6.1803 -5.2978
     18  -5.6277  0.3646    -6.1845 -5.3534
     19  -5.6076  0.3073    -6.0720 -5.3506

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0992  0.0601     0.0013  0.1895
      1   0.0974  0.0606     0.0006  0.1893
      2   0.0977  0.0604     0.0008  0.1892
      3   0.0918  0.0611     0.0001  0.1878
      4   0.0666  0.0574     0.0001  0.1754
      5   0.0166  0.0186     0.0000  0.0511
      6   0.0216  0.0205     0.0000  0.0589
      7   0.0260  0.0216     0.0001  0.0645
      8   0.0149  0.0124     0.0000  0.0346
      9   0.0162  0.0120     0.0001  0.0357
     10   0.0182  0.0121     0.0001  0.0379
     11   0.0201  0.0123     0.0006  0.0399
     12   0.0203  0.0125     0.0007  0.0404
     13   0.0222  0.0128     0.0014  0.0427
     14   0.0236  0.0134     0.0019  0.0455
     15   0.0163  0.0095     0.0001  0.0308
     16   0.0173  0.0093     0.0009  0.0315
     17   0.0183  0.0093     0.0015  0.0324
     18   0.0194  0.0093     0.0022  0.0333
     19   0.0204  0.0094     0.0030  0.0341

