Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.3262  1.3209    -3.0057 -0.1360
      1  -1.9647  1.1515    -3.7311 -1.3231
      2  -2.2383  1.1049    -4.1225 -1.7122
      3  -2.4274  1.1365    -4.7426 -1.9685
      4  -3.0554  1.6640    -7.5565 -2.0802
      5  -2.6019  1.1388    -4.9413 -2.1152
      6  -2.6171  1.0069    -4.1689 -2.2054
      7  -3.1651  1.5464    -7.3363 -2.1634
      8  -2.8707  1.1790    -5.5183 -2.2442
      9  -2.7224  0.8989    -3.6554 -2.3029
     10  -2.6181  0.7282    -3.1618 -2.3042
     11  -2.7030  0.7151    -3.2877 -2.3975
     12  -2.6394  0.5600    -3.1056 -2.3982
     13  -2.6724  0.4866    -3.1153 -2.4443
     14  -2.6370  0.3798    -3.0281 -2.4412
     15  -2.6520  0.3088    -3.0339 -2.5087
     16  -2.6524  0.2400    -3.0261 -2.5613
     17  -2.6363  0.1879    -2.9010 -2.5481
     18  -2.6374  0.1488    -2.9006 -2.5840
     19  -2.6631  0.1717    -3.0379 -2.6468

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0969  0.0612     0.0001  0.1893
      1   0.0951  0.0618     0.0001  0.1890
      2   0.0941  0.0617     0.0001  0.1887
      3   0.0921  0.0624     0.0001  0.1885
      4   0.0442  0.0460     0.0000  0.1396
      5   0.0569  0.0474     0.0001  0.1506
      6   0.0640  0.0500     0.0001  0.1603
      7   0.0215  0.0206     0.0000  0.0586
      8   0.0259  0.0210     0.0000  0.0625
      9   0.0288  0.0208     0.0001  0.0652
     10   0.0326  0.0213     0.0009  0.0693
     11   0.0313  0.0201     0.0009  0.0658
     12   0.0342  0.0201     0.0035  0.0684
     13   0.0365  0.0210     0.0052  0.0725
     14   0.0392  0.0211     0.0079  0.0750
     15   0.0418  0.0216     0.0093  0.0786
     16   0.0435  0.0215     0.0110  0.0801
     17   0.0459  0.0215     0.0137  0.0823
     18   0.0469  0.0214     0.0147  0.0830
     19   0.0428  0.0194     0.0128  0.0753

