trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1263 710.00  0.00 800.00  2.00  0
  1  707 400.00  0.00 800.00  4.30  1
  2  745 420.00  0.00 800.00  8.60  1
  3  623 350.00  0.00 800.00 21.50  0
  4  693 390.00  0.00 800.00 12.90  1
  5  694 390.00  0.00 800.00 17.20  1
  6  589 330.00  0.00 800.00 52.00  1
  7  754 420.00  0.00 800.00 260.00  0
  8    0  10.00  0.00 800.00  0.43  1
  9  680 380.00  0.00 800.00 104.00  0
 10  805 450.00  0.00 800.00 52.00  0
 11  858 480.00  0.00 800.00 26.00  0
 12  822 460.00  0.00 800.00 26.00  0
 13  532 300.00  0.00 800.00 17.20  0
 14 1421 790.00  0.00 800.00 520.00  0
 15 1421 790.00  0.00 800.00 260.00  0
 16  548 310.00  0.00 800.00 10.80  1
 17  549 310.00  0.00 800.00 12.90  1
 18  839 470.00  0.00 800.00 21.50  0
 19  784 440.00  0.00 800.00 17.20  1
