  0 1263 710.00  0.00 800.00  2.00  1
  1  844 470.00  0.00 800.00 260.00  0
  2  608 340.00  0.00 800.00 104.00  0
  3  822 460.00  0.00 800.00 26.00  0
  4  784 440.00  0.00 800.00 17.20  1
  5  732 410.00  0.00 800.00 26.00  0
  6  732 410.00  0.00 800.00 52.00  0
  7  732 410.00  0.00 800.00 21.50  1
  8  732 390.00  0.00 800.00 52.00  0
  9  732 420.00  0.00 800.00 52.00  0
 10  732 390.00  0.00 800.00 21.50  1
 11  732 400.00  0.00 800.00 52.00  0
 12  732 430.00  0.00 800.00 52.00  0
 13  732 390.00  0.00 800.00 52.00  0
 14  732 410.00  0.00 800.00 52.00  0
 15  732 400.00  0.00 800.00 21.50  1
 16  732 400.00  0.00 800.00 21.50  1
 17  732 410.00  0.00 800.00 52.00  0
 18  732 410.00  0.00 800.00 21.50  1
 19  732 420.00  0.00 800.00 52.00  0
