Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.2923  2.3460    -9.0691 -1.7746
      1  -3.2366  1.2321    -5.1418 -1.5549
      2  -4.2324  0.7552    -5.2402 -3.4610
      3  -3.7146  0.5923    -4.3758 -3.3049
      4  -3.5427  0.5122    -4.0028 -3.2135
      5  -3.3943  0.5128    -3.8509 -3.0081
      6  -3.4514  0.3549    -3.8504 -3.4282
      7  -3.4249  0.2707    -3.6849 -3.4287
      8  -3.4207  0.2075    -3.6835 -3.4294
      9  -3.1378  0.9652    -3.9337 -1.9331
     10  -2.8315  1.4369    -6.2306 -1.0466
     11  -2.6973  1.1722    -4.0438 -1.1273
     12  -2.8424  0.9414    -3.7734 -1.7675
     13  -2.9308  0.7653    -3.6834 -2.1659
     14  -2.9893  0.6284    -3.6723 -2.4165
     15  -2.8298  0.9029    -3.7162 -2.0517
     16  -2.7765  0.7139    -3.5867 -2.1116
     17  -2.8134  0.5947    -3.5696 -2.2475
     18  -2.8654  0.5148    -3.5860 -2.4024
     19  -2.8157  0.4436    -3.4493 -2.3932

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1015  0.0589     0.0064  0.1898
      1   0.1016  0.0590     0.0061  0.1899
      2   0.1014  0.0592     0.0054  0.1899
      3   0.1003  0.0594     0.0048  0.1897
      4   0.1036  0.0588     0.0066  0.1903
      5   0.1012  0.0594     0.0056  0.1899
      6   0.1132  0.0555     0.0147  0.1915
      7   0.1208  0.0528     0.0226  0.1925
      8   0.1220  0.0519     0.0263  0.1926
      9   0.0227  0.0179     0.0001  0.0543
     10   0.0100  0.0076     0.0000  0.0207
     11   0.0109  0.0073     0.0001  0.0214
     12   0.0124  0.0077     0.0001  0.0241
     13   0.0138  0.0080     0.0002  0.0258
     14   0.0151  0.0082     0.0006  0.0270
     15   0.0109  0.0060     0.0001  0.0190
     16   0.0112  0.0057     0.0003  0.0191
     17   0.0120  0.0058     0.0006  0.0197
     18   0.0127  0.0060     0.0007  0.0202
     19   0.0134  0.0060     0.0010  0.0206

