Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.7135  2.6741    -9.0107 -0.6710
      1  -6.9134  1.4612    -8.3934 -4.8897
      2  -5.7732  0.8802    -7.0659 -4.7808
      3  -6.3218  0.6401    -7.1780 -5.8036
      4  -6.0301  0.4885    -6.6066 -5.6989
      5  -5.7548  0.4894    -6.2703 -5.4948
      6  -5.1254  1.2754    -6.6644 -2.4447
      7  -5.3057  0.9755    -6.4134 -4.0496
      8  -5.4460  0.8141    -6.3750 -4.7831
      9  -5.2563  0.8807    -6.2016 -4.4131
     10  -5.2854  0.6908    -6.0691 -4.7108
     11  -5.3585  0.5665    -6.0592 -5.0049
     12  -5.2782  0.5016    -5.8898 -4.9404
     13  -5.3249  0.4124    -5.8950 -5.0604
     14  -5.2806  0.3467    -5.7677 -5.0508
     15  -5.2480  0.2935    -5.7159 -5.0431
     16  -5.2746  0.2377    -5.7215 -5.1038
     17  -5.2729  0.1978    -5.7103 -5.1087
     18  -5.2709  0.1716    -5.6997 -5.1124
     19  -5.2499  0.1496    -5.6021 -5.0975

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1020  0.0585     0.0073  0.1898
      1   0.1019  0.0586     0.0072  0.1898
      2   0.1011  0.0589     0.0064  0.1897
      3   0.1015  0.0587     0.0073  0.1898
      4   0.1035  0.0578     0.0094  0.1900
      5   0.0981  0.0590     0.0065  0.1890
      6   0.0172  0.0155     0.0000  0.0442
      7   0.0199  0.0159     0.0001  0.0472
      8   0.0228  0.0168     0.0001  0.0518
      9   0.0205  0.0155     0.0001  0.0468
     10   0.0214  0.0152     0.0003  0.0473
     11   0.0237  0.0158     0.0010  0.0506
     12   0.0259  0.0168     0.0015  0.0546
     13   0.0283  0.0173     0.0026  0.0580
     14   0.0309  0.0181     0.0038  0.0616
     15   0.0333  0.0187     0.0053  0.0653
     16   0.0358  0.0190     0.0074  0.0679
     17   0.0364  0.0188     0.0082  0.0682
     18   0.0370  0.0187     0.0089  0.0686
     19   0.0393  0.0193     0.0099  0.0721

