Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.0208  1.7254    -5.7421 -0.0747
      1  -1.2291  1.6104    -5.5639 -0.4554
      2  -1.3787  1.5448    -5.4612 -0.7366
      3  -1.7829  1.7535    -6.6826 -0.8653
      4  -2.7080  2.1897    -8.1002 -1.0251
      5  -4.4339  2.5119    -8.9049 -0.8833
      6  -4.3441  2.4290    -8.8537 -1.1140
      7  -4.2658  2.3510    -8.8007 -1.3319
      8  -3.4234  1.8404    -7.6658 -1.3194
      9  -4.6347  2.0840    -8.6431 -1.3409
     10  -4.6222  1.9278    -8.4816 -1.7324
     11  -4.6135  1.8088    -8.3275 -2.0093
     12  -5.5068  1.7877    -8.8132 -2.6628
     13  -5.0016  1.4384    -7.6340 -2.7403
     14  -5.5392  1.4263    -8.1453 -3.3611
     15  -5.5915  1.2835    -8.0146 -3.8738
     16  -5.1573  1.0912    -6.9314 -3.6503
     17  -5.4576  1.0354    -7.1972 -4.2279
     18  -5.2111  0.9070    -6.5727 -4.0948
     19  -5.2237  0.8060    -6.5163 -4.2190

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0904  0.0640     0.0000  0.1885
      1   0.0888  0.0638     0.0000  0.1881
      2   0.0879  0.0641     0.0000  0.1880
      3   0.0635  0.0591     0.0000  0.1763
      4   0.0177  0.0219     0.0000  0.0589
      5   0.0035  0.0041     0.0000  0.0069
      6   0.0047  0.0042     0.0000  0.0082
      7   0.0058  0.0039     0.0000  0.0094
      8   0.0065  0.0040     0.0000  0.0111
      9   0.0046  0.0035     0.0000  0.0066
     10   0.0055  0.0031     0.0000  0.0067
     11   0.0062  0.0026     0.0000  0.0068
     12   0.0060  0.0026     0.0000  0.0067
     13   0.0063  0.0025     0.0000  0.0068
     14   0.0062  0.0025     0.0000  0.0067
     15   0.0066  0.0020     0.0001  0.0067
     16   0.0067  0.0021     0.0001  0.0068
     17   0.0067  0.0020     0.0001  0.0068
     18   0.0068  0.0020     0.0001  0.0068
     19   0.0070  0.0017     0.0003  0.0069

