Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.5341  1.6752    -9.1958 -4.1633
      1  -5.2725  1.0000    -6.7759 -4.0372
      2  -6.0308  0.7306    -6.8860 -5.5046
      3  -5.7387  0.5908    -6.3153 -5.3618
      4  -5.6044  0.5106    -6.0678 -5.3036
      5  -5.7621  0.4660    -6.2065 -5.6004
      6  -5.7988  0.3494    -6.2040 -5.7968
      7  -5.7827  0.2588    -6.0495 -5.7972
      8  -5.7887  0.1876    -6.0490 -5.7989
      9  -5.7915  0.1400    -6.0488 -5.7999
     10  -5.7931  0.1081    -6.0486 -5.8006
     11  -5.7980  0.0828    -6.0486 -5.8051
     12  -5.7983  0.0683    -6.0485 -5.8054
     13  -5.7985  0.0591    -6.0484 -5.8056
     14  -5.7986  0.0537    -6.0483 -5.8058
     15  -5.8532  0.1460    -6.2718 -5.8090
     16  -5.8528  0.1389    -6.2706 -5.8092
     17  -5.8524  0.1346    -6.2696 -5.8092
     18  -5.8521  0.1319    -6.2689 -5.8093
     19  -5.8517  0.1299    -6.2681 -5.8093

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1011  0.0593     0.0048  0.1898
      1   0.1010  0.0594     0.0047  0.1898
      2   0.1001  0.0596     0.0040  0.1897
      3   0.1027  0.0590     0.0057  0.1901
      4   0.1045  0.0582     0.0078  0.1903
      5   0.1072  0.0572     0.0098  0.1906
      6   0.1151  0.0545     0.0183  0.1917
      7   0.1229  0.0514     0.0284  0.1927
      8   0.1242  0.0503     0.0323  0.1927
      9   0.1249  0.0497     0.0346  0.1928
     10   0.1255  0.0492     0.0362  0.1928
     11   0.1299  0.0473     0.0422  0.1934
     12   0.1302  0.0469     0.0434  0.1934
     13   0.1306  0.0466     0.0445  0.1934
     14   0.1309  0.0464     0.0453  0.1934
     15   0.0816  0.0420     0.0211  0.1600
     16   0.0821  0.0418     0.0218  0.1602
     17   0.0825  0.0417     0.0224  0.1604
     18   0.0827  0.0416     0.0228  0.1605
     19   0.0831  0.0415     0.0233  0.1607

