Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.9068  1.8317    -5.7345 -0.3073
      1  -4.3346  1.1365    -6.0365 -2.9890
      2  -3.5800  0.7211    -4.4650 -2.9213
      3  -3.9799  0.5777    -4.6134 -3.6140
      4  -4.2552  0.6197    -4.8981 -3.9776
      5  -4.2536  0.4987    -4.7870 -4.0078
      6  -4.2067  0.3267    -4.6326 -4.0119
      7  -4.2073  0.2605    -4.6229 -4.0240
      8  -4.2084  0.2169    -4.6166 -4.0346
      9  -4.2089  0.1900    -4.6124 -4.0410
     10  -4.1988  0.1502    -4.5583 -4.0399
     11  -4.1993  0.1400    -4.5567 -4.0428
     12  -4.1971  0.1300    -4.5406 -4.0428
     13  -4.1952  0.1243    -4.5207 -4.0426
     14  -4.1961  0.1213    -4.5205 -4.0457
     15  -4.1968  0.1194    -4.5204 -4.0484
     16  -4.1943  0.1159    -4.4870 -4.0477
     17  -4.1931  0.1142    -4.4780 -4.0474
     18  -4.1936  0.1133    -4.4780 -4.0490
     19  -4.1939  0.1127    -4.4780 -4.0502

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0997  0.0596     0.0044  0.1896
      1   0.0988  0.0600     0.0040  0.1895
      2   0.1013  0.0592     0.0051  0.1899
      3   0.1019  0.0589     0.0057  0.1899
      4   0.0959  0.0601     0.0027  0.1888
      5   0.0990  0.0587     0.0070  0.1892
      6   0.1050  0.0562     0.0140  0.1899
      7   0.1064  0.0554     0.0166  0.1901
      8   0.1076  0.0548     0.0188  0.1902
      9   0.1084  0.0543     0.0204  0.1903
     10   0.1108  0.0532     0.0238  0.1905
     11   0.1112  0.0529     0.0246  0.1906
     12   0.1119  0.0525     0.0260  0.1907
     13   0.1127  0.0521     0.0275  0.1908
     14   0.1131  0.0519     0.0282  0.1908
     15   0.1134  0.0517     0.0287  0.1908
     16   0.1145  0.0512     0.0301  0.1910
     17   0.1151  0.0509     0.0311  0.1910
     18   0.1153  0.0508     0.0315  0.1910
     19   0.1154  0.0507     0.0318  0.1911

