Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.8681  1.7769    -5.6583 -0.3057
      1  -4.2657  1.0381    -5.7819 -2.9754
      2  -4.9325  0.7499    -5.9573 -4.2414
      3  -5.3499  0.6642    -6.1890 -4.9792
      4  -5.1287  0.4774    -5.6498 -4.8645
      5  -5.2785  0.4611    -5.7441 -5.1134
      6  -5.2708  0.3309    -5.7075 -5.1339
      7  -5.2691  0.2520    -5.6853 -5.1467
      8  -5.2693  0.2026    -5.6752 -5.1543
      9  -5.2772  0.1604    -5.6747 -5.2071
     10  -5.2848  0.1328    -5.6757 -5.2700
     11  -5.2840  0.1192    -5.6709 -5.2700
     12  -5.2869  0.1085    -5.6711 -5.2728
     13  -5.2856  0.1020    -5.6641 -5.2728
     14  -5.2852  0.0991    -5.6617 -5.2729
     15  -5.2864  0.0960    -5.6618 -5.2741
     16  -5.2871  0.0944    -5.6618 -5.2748
     17  -5.2865  0.0930    -5.6589 -5.2748
     18  -5.2862  0.0922    -5.6573 -5.2748
     19  -5.2860  0.0916    -5.6559 -5.2748

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1003  0.0594     0.0046  0.1896
      1   0.0999  0.0594     0.0044  0.1896
      2   0.1001  0.0593     0.0049  0.1896
      3   0.0990  0.0596     0.0044  0.1894
      4   0.1043  0.0580     0.0082  0.1902
      5   0.1053  0.0577     0.0082  0.1903
      6   0.1079  0.0562     0.0141  0.1906
      7   0.1097  0.0551     0.0178  0.1908
      8   0.1106  0.0545     0.0199  0.1908
      9   0.1128  0.0533     0.0235  0.1911
     10   0.1155  0.0522     0.0272  0.1914
     11   0.1159  0.0519     0.0281  0.1914
     12   0.1173  0.0512     0.0303  0.1916
     13   0.1178  0.0508     0.0314  0.1916
     14   0.1180  0.0507     0.0319  0.1916
     15   0.1188  0.0502     0.0334  0.1917
     16   0.1193  0.0500     0.0344  0.1918
     17   0.1196  0.0498     0.0349  0.1918
     18   0.1197  0.0497     0.0352  0.1918
     19   0.1198  0.0496     0.0354  0.1918

