trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0   60  40.00  0.00 800.00  6.44  1
  1  716 400.00  0.00 800.00 104.00  0
  2  745 420.00  0.00 800.00  8.60  1
  3  732 410.00  0.00 800.00 26.00  1
  4  679 380.00  0.00 800.00 52.00  1
  5  608 340.00  0.00 800.00 104.00  1
  6  716 400.00  0.00 800.00 104.00  0
  7  608 360.00  0.00 800.00 52.00  1
  8  608 330.00  0.00 800.00 52.00  1
  9  608 330.00  0.00 800.00 156.00  0
 10  608 340.00  0.00 800.00 52.00  1
 11  608 350.00  0.00 800.00 156.00  0
 12  608 330.00  0.00 800.00 156.00  0
 13  608 350.00  0.00 800.00 156.00  0
 14  608 330.00  0.00 800.00 52.00  1
 15  608 360.00  0.00 800.00 156.00  0
 16  608 330.00  0.00 800.00 156.00  0
 17  608 350.00  0.00 800.00 156.00  0
 18  608 350.00  0.00 800.00 52.00  1
 19  608 340.00  0.00 800.00 156.00  0
