Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.7073  1.6856    -5.3604 -0.2896
      1  -4.1103  0.9464    -5.4902 -2.9718
      2  -4.7598  0.6756    -5.6195 -4.2252
      3  -5.1487  0.6358    -5.8508 -4.7930
      4  -4.9740  0.5713    -5.4827 -4.7017
      5  -4.7410  0.9110    -5.6643 -3.7432
      6  -4.6543  0.8090    -5.2585 -3.8245
      7  -4.3790  1.1984    -6.4730 -2.4259
      8  -4.4656  0.9420    -5.4348 -3.4622
      9  -4.5200  0.7416    -5.2054 -3.9944
     10  -4.3576  0.9510    -5.4151 -3.4738
     11  -4.3472  0.7338    -5.0385 -3.7600
     12  -4.3771  0.5781    -4.9865 -3.9862
     13  -4.4060  0.4663    -4.9768 -4.0919
     14  -4.3113  0.4780    -4.8710 -4.0094
     15  -4.2596  0.4181    -4.7299 -3.9948
     16  -4.2825  0.3400    -4.7295 -4.0585
     17  -4.2355  0.3041    -4.6941 -4.0299
     18  -4.2137  0.2530    -4.6566 -4.0247
     19  -4.2299  0.2075    -4.6614 -4.0789

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1011  0.0592     0.0050  0.1898
      1   0.1009  0.0594     0.0043  0.1898
      2   0.1011  0.0593     0.0043  0.1898
      3   0.0978  0.0601     0.0025  0.1892
      4   0.0990  0.0592     0.0033  0.1892
      5   0.0505  0.0435     0.0001  0.1364
      6   0.0552  0.0456     0.0001  0.1452
      7   0.0207  0.0185     0.0000  0.0530
      8   0.0243  0.0188     0.0000  0.0565
      9   0.0275  0.0189     0.0001  0.0598
     10   0.0196  0.0137     0.0000  0.0411
     11   0.0207  0.0132     0.0001  0.0415
     12   0.0225  0.0131     0.0009  0.0434
     13   0.0242  0.0131     0.0021  0.0453
     14   0.0237  0.0129     0.0019  0.0443
     15   0.0252  0.0133     0.0028  0.0465
     16   0.0268  0.0134     0.0045  0.0480
     17   0.0282  0.0139     0.0056  0.0507
     18   0.0298  0.0141     0.0073  0.0528
     19   0.0314  0.0142     0.0082  0.0542

