Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.0015  1.4166    -3.9228 -0.2133
      1  -3.0162  0.9922    -4.1797 -2.1337
      2  -2.5656  0.7823    -3.2759 -2.0200
      3  -2.2940  0.7430    -2.8358 -1.8778
      4  -2.1369  0.7345    -2.5879 -1.6679
      5  -2.1778  0.5586    -2.5726 -2.1077
      6  -2.1320  0.4247    -2.3724 -2.1132
      7  -2.1325  0.3116    -2.3713 -2.1222
      8  -2.1386  0.2930    -2.3753 -2.1250
      9  -2.1283  0.2097    -2.3723 -2.1252
     10  -2.2552  0.5284    -2.6223 -2.1276
     11  -2.2159  0.4044    -2.6060 -2.1271
     12  -2.2177  0.3242    -2.6072 -2.1307
     13  -2.2001  0.2494    -2.5991 -2.1301
     14  -2.2053  0.6543    -2.5855 -2.1134
     15  -2.1612  0.5058    -2.4966 -2.1147
     16  -2.1376  0.3696    -2.4333 -2.1161
     17  -2.1250  0.2713    -2.3758 -2.1171
     18  -2.1958  0.5234    -2.5943 -2.1114
     19  -2.1563  0.4420    -2.5426 -2.0920

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0989  0.0602     0.0021  0.1895
      1   0.0977  0.0606     0.0014  0.1894
      2   0.0998  0.0598     0.0027  0.1896
      3   0.0990  0.0599     0.0028  0.1894
      4   0.0971  0.0600     0.0027  0.1890
      5   0.1104  0.0568     0.0100  0.1911
      6   0.1188  0.0539     0.0185  0.1923
      7   0.1252  0.0504     0.0310  0.1929
      8   0.1270  0.0500     0.0332  0.1933
      9   0.1287  0.0486     0.0385  0.1934
     10   0.0695  0.0401     0.0100  0.1435
     11   0.0739  0.0397     0.0154  0.1471
     12   0.0777  0.0397     0.0195  0.1510
     13   0.0804  0.0392     0.0229  0.1529
     14   0.0448  0.0256     0.0037  0.0879
     15   0.0483  0.0254     0.0078  0.0909
     16   0.0499  0.0249     0.0107  0.0918
     17   0.0511  0.0244     0.0133  0.0925
     18   0.0346  0.0170     0.0055  0.0613
     19   0.0365  0.0173     0.0073  0.0639

