Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6109  2.7305    -9.0001 -0.4838
      1  -2.3000  1.4603    -4.5804 -0.2490
      2  -3.4480  0.8701    -4.6922 -2.4293
      3  -3.9899  0.6386    -4.7407 -3.4462
      4  -4.2755  0.5624    -4.9219 -3.9596
      5  -4.5868  0.6743    -5.5698 -4.2692
      6  -5.1536  1.2163    -8.1629 -4.3413
      7  -4.7464  0.6808    -5.7487 -4.3397
      8  -4.8709  0.6713    -5.9618 -4.5157
      9  -4.7458  0.4608    -5.2733 -4.5111
     10  -4.7832  0.3904    -5.2789 -4.6060
     11  -4.7996  0.3324    -5.2661 -4.7445
     12  -4.7757  0.2305    -5.2093 -4.7449
     13  -4.7490  0.1686    -5.0623 -4.7441
     14  -4.7459  0.1326    -5.0251 -4.7444
     15  -4.7443  0.1100    -5.0042 -4.7446
     16  -4.7423  0.0941    -5.0022 -4.7449
     17  -4.7478  0.0777    -5.0023 -4.7502
     18  -4.7517  0.0677    -5.0028 -4.7535
     19  -4.7441  0.0469    -4.9955 -4.7532

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1017  0.0587     0.0068  0.1898
      1   0.1018  0.0587     0.0068  0.1899
      2   0.1014  0.0589     0.0063  0.1898
      3   0.1021  0.0588     0.0066  0.1899
      4   0.1030  0.0587     0.0068  0.1901
      5   0.0953  0.0610     0.0034  0.1891
      6   0.0348  0.0346     0.0001  0.1039
      7   0.0442  0.0362     0.0010  0.1144
      8   0.0444  0.0367     0.0013  0.1160
      9   0.0529  0.0380     0.0034  0.1253
     10   0.0583  0.0394     0.0051  0.1327
     11   0.0630  0.0401     0.0072  0.1377
     12   0.0655  0.0394     0.0106  0.1392
     13   0.0716  0.0392     0.0151  0.1442
     14   0.0724  0.0389     0.0167  0.1446
     15   0.0730  0.0386     0.0179  0.1449
     16   0.0739  0.0383     0.0194  0.1454
     17   0.0767  0.0381     0.0219  0.1476
     18   0.0804  0.0383     0.0242  0.1512
     19   0.0848  0.0381     0.0283  0.1548

