trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  145  90.00  0.00 800.00  0.71  1
  1  698 390.00  0.00 800.00 104.00  0
  2  693 390.00  0.00 800.00 12.90  1
  3  822 460.00  0.00 800.00 26.00  0
  4  695 390.00  0.00 800.00 21.50  0
  5  783 440.00  0.00 800.00 12.90  0
  6  746 420.00  0.00 800.00 10.80  1
  7  694 390.00  0.00 800.00 17.20  0
  8  675 380.00  0.00 800.00 12.90  0
  9  746 420.00  0.00 800.00 10.80  0
 10  744 420.00  0.00 800.00  6.44  1
 11  673 380.00  0.00 800.00  8.60  1
 12  711 400.00  0.00 800.00 12.90  0
 13  691 390.00  0.00 800.00  8.60  0
 14  654 370.00  0.00 800.00  6.44  1
 15  619 350.00  0.00 800.00  8.60  1
 16  673 380.00  0.00 800.00  8.60  1
 17  673 390.00  0.00 800.00 10.80  0
 18  673 390.00  0.00 800.00 10.80  0
 19  691 390.00  0.00 800.00  8.60  0
