Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.6090  1.6400    -9.2038 -4.3099
      1  -5.3453  0.9724    -6.7826 -4.1738
      2  -4.6909  0.6848    -5.5246 -4.0184
      3  -5.0019  0.5500    -5.6509 -4.6463
      4  -4.8405  0.4626    -5.2665 -4.5701
      5  -4.7129  0.4336    -5.1652 -4.5030
      6  -4.4826  0.7424    -5.0483 -3.7162
      7  -4.4733  0.5982    -4.9865 -3.8867
      8  -3.8584  1.4360    -6.8504 -1.4553
      9  -3.7953  1.2034    -5.2513 -1.7859
     10  -3.9781  0.9305    -4.9930 -2.7790
     11  -4.0783  0.7462    -4.9492 -3.2640
     12  -4.1706  0.6233    -4.9471 -3.5606
     13  -4.2521  0.5320    -4.9592 -3.7709
     14  -4.1260  0.5359    -4.7978 -3.6932
     15  -4.0395  0.4990    -4.6794 -3.6013
     16  -4.0782  0.4139    -4.6811 -3.7323
     17  -4.1079  0.3496    -4.6848 -3.8055
     18  -4.0285  0.3376    -4.5585 -3.7479
     19  -3.9874  0.2960    -4.4623 -3.7344

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1012  0.0591     0.0049  0.1898
      1   0.1008  0.0592     0.0045  0.1897
      2   0.1008  0.0591     0.0046  0.1896
      3   0.1024  0.0583     0.0067  0.1898
      4   0.1061  0.0574     0.0095  0.1905
      5   0.1042  0.0570     0.0096  0.1898
      6   0.0542  0.0424     0.0001  0.1361
      7   0.0582  0.0421     0.0022  0.1391
      8   0.0104  0.0088     0.0000  0.0244
      9   0.0115  0.0085     0.0000  0.0251
     10   0.0133  0.0089     0.0001  0.0269
     11   0.0149  0.0091     0.0001  0.0284
     12   0.0164  0.0094     0.0006  0.0309
     13   0.0178  0.0096     0.0010  0.0326
     14   0.0173  0.0095     0.0009  0.0319
     15   0.0179  0.0097     0.0011  0.0329
     16   0.0192  0.0098     0.0017  0.0339
     17   0.0203  0.0099     0.0024  0.0351
     18   0.0206  0.0101     0.0025  0.0361
     19   0.0218  0.0104     0.0032  0.0381

