Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.0545  1.6932    -5.5805 -0.0788
      1  -1.2873  1.5626    -5.3414 -0.5433
      2  -1.3868  1.4220    -4.7074 -0.8020
      3  -1.6285  1.4413    -5.1395 -0.9511
      4  -2.1018  1.6402    -6.5127 -1.1093
      5  -2.9226  1.9163    -7.8211 -1.3510
      6  -2.4317  1.5134    -6.4268 -1.3555
      7  -2.1574  1.2644    -4.8182 -1.3487
      8  -2.5076  1.4114    -6.1992 -1.5572
      9  -2.3441  1.0985    -3.9907 -1.6029
     10  -2.1924  0.8914    -3.1200 -1.5983
     11  -2.4378  1.0225    -3.7136 -1.7474
     12  -3.1026  1.6888    -7.5999 -1.6281
     13  -2.8826  1.3530    -6.2611 -1.8133
     14  -2.7445  1.0685    -4.3938 -1.8828
     15  -2.6656  0.8557    -3.8523 -1.9090
     16  -3.0327  1.1017    -4.9635 -2.0793
     17  -2.9576  0.8999    -4.3384 -2.1282
     18  -2.9156  0.7632    -4.1498 -2.1436
     19  -2.7762  0.6560    -3.8025 -2.1032

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0913  0.0641     0.0000  0.1888
      1   0.0899  0.0645     0.0000  0.1888
      2   0.0895  0.0639     0.0001  0.1886
      3   0.0757  0.0619     0.0001  0.1841
      4   0.0389  0.0404     0.0000  0.1223
      5   0.0134  0.0134     0.0000  0.0367
      6   0.0166  0.0144     0.0000  0.0409
      7   0.0197  0.0151     0.0000  0.0452
      8   0.0147  0.0113     0.0000  0.0327
      9   0.0158  0.0110     0.0001  0.0332
     10   0.0176  0.0112     0.0001  0.0349
     11   0.0146  0.0095     0.0001  0.0289
     12   0.0071  0.0054     0.0000  0.0134
     13   0.0080  0.0051     0.0000  0.0137
     14   0.0087  0.0048     0.0001  0.0138
     15   0.0090  0.0045     0.0002  0.0139
     16   0.0072  0.0032     0.0001  0.0110
     17   0.0075  0.0029     0.0001  0.0112
     18   0.0077  0.0027     0.0003  0.0113
     19   0.0080  0.0029     0.0004  0.0119

