trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0   29  20.00  0.00 800.00 21.50  0
  1 1400 780.00  0.00 800.00 104.00  0
  2  705 400.00  0.00 800.00  2.00  1
  3 1420 790.00  0.00 800.00 260.00  0
  4 1419 790.00  0.00 800.00 156.00  0
  5  743 420.00  0.00 800.00  4.30  0
  6  743 430.00  0.00 800.00  3.00  0
  7  687 390.00  0.00 800.00  2.00  1
  8  760 430.00  0.00 800.00  3.00  0
  9  651 370.00  0.00 800.00  2.00  1
 10  652 370.00  0.00 800.00  3.00  0
 11  670 380.00  0.00 800.00  3.00  0
 12  633 360.00  0.00 800.00  2.00  1
 13  651 370.00  0.00 800.00  2.00  1
 14  688 390.00  0.00 800.00  3.00  1
 15  670 380.00  0.00 800.00  3.00  1
 16  886 500.00  0.00 800.00  3.00  0
 17  616 350.00  0.00 800.00  3.00  1
 18  850 480.00  0.00 800.00  3.00  0
 19  598 340.00  0.00 800.00  3.00  1
