Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.0159  2.5021    -9.0412 -1.2455
      1  -2.8353  1.3194    -4.8717 -1.0098
      2  -1.7949  0.8499    -2.8678 -0.8766
      3  -1.2752  0.7076    -1.9176 -0.8123
      4  -1.0072  0.6823    -1.5059 -0.6600
      5  -0.8567  0.6836    -1.2731 -0.5360
      6  -0.8690  0.5274    -1.2643 -0.8017
      7  -1.1854  1.7326    -6.0358 -0.2172
      8  -0.9312  1.3203    -3.2290 -0.2095
      9  -1.1034  1.9069    -6.4941 -0.0843
     10  -4.4000  2.7794    -8.9667 -0.3829
     11  -4.5088  2.7494    -8.9831 -0.4424
     12  -4.4668  2.7483    -8.9729 -0.4338
     13  -4.4247  2.7494    -8.9636 -0.4240
     14  -4.3814  2.7481    -8.9526 -0.4146
     15  -4.3357  2.7497    -8.9423 -0.4029
     16  -4.2850  2.7487    -8.9287 -0.3900
     17  -4.2237  2.7539    -8.9153 -0.3709
     18  -4.1439  2.7600    -8.8960 -0.3454
     19  -4.0298  2.7792    -8.8737 -0.3076

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1017  0.0588     0.0067  0.1899
      1   0.1018  0.0589     0.0064  0.1899
      2   0.1024  0.0588     0.0071  0.1900
      3   0.1029  0.0587     0.0076  0.1901
      4   0.1026  0.0589     0.0075  0.1902
      5   0.1009  0.0596     0.0072  0.1901
      6   0.1124  0.0564     0.0134  0.1917
      7   0.0235  0.0213     0.0000  0.0619
      8   0.0253  0.0210     0.0001  0.0634
      9   0.0130  0.0106     0.0000  0.0299
     10   0.0002  0.0009     0.0000  0.0001
     11   0.0001  0.0001     0.0000  0.0001
     12   0.0001  0.0001     0.0000  0.0001
     13   0.0001  0.0002     0.0000  0.0001
     14   0.0001  0.0003     0.0000  0.0001
     15   0.0001  0.0004     0.0000  0.0001
     16   0.0001  0.0005     0.0000  0.0001
     17   0.0002  0.0007     0.0000  0.0001
     18   0.0003  0.0010     0.0000  0.0001
     19   0.0004  0.0014     0.0000  0.0001

