Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.0159  2.5021    -9.0412 -1.2455
      1  -7.2936  1.2885    -7.0012 -5.6349
      2  -8.1966  0.8864    -3.7599 -7.3800
      3  -8.6124  0.7368    -2.2385 -8.0559
      4  -8.3219  0.7194    -9.1808 -7.9055
      5  -8.4914  0.6764    -7.0640 -8.1865
      6  -8.5417  0.5430    -7.0505 -8.2649
      7  -8.5899  0.4644    -6.4455 -8.4220
      8  -8.6052  0.3756    -6.6863 -8.4298
      9  -8.4306  1.0847    -3.5391 -7.8177
     10  -7.6750  2.0041    -4.5377 -2.4244
     11  -4.7891  2.7458    -9.0519 -0.5231
     12  -4.8629  2.7523    -9.0721 -0.5387
     13  -4.7512  2.7355    -9.0363 -0.5176
     14  -4.7097  2.7364    -9.0276 -0.5075
     15  -4.6690  2.7356    -9.0182 -0.4985
     16  -4.7097  2.7363    -9.0275 -0.5075
     17  -4.6690  2.7354    -9.0182 -0.4985
     18  -4.7099  2.7347    -9.0268 -0.5083
     19  -4.6693  2.7339    -9.0174 -0.4993

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1017  0.0588     0.0067  0.1899
      1   0.1014  0.0590     0.0061  0.1898
      2   0.1025  0.0584     0.0076  0.1899
      3   0.1053  0.0575     0.0101  0.1903
      4   0.1008  0.0584     0.0079  0.1896
      5   0.1021  0.0575     0.0096  0.1896
      6   0.1103  0.0557     0.0158  0.1911
      7   0.1158  0.0543     0.0210  0.1921
      8   0.1205  0.0522     0.0278  0.1926
      9   0.0451  0.0341     0.0002  0.1094
     10   0.0159  0.0149     0.0000  0.0411
     11   0.0002  0.0007     0.0000  0.0001
     12   0.0002  0.0010     0.0000  0.0001
     13   0.0001  0.0001     0.0000  0.0001
     14   0.0001  0.0000     0.0000  0.0001
     15   0.0001  0.0000     0.0000  0.0001
     16   0.0001  0.0000     0.0000  0.0001
     17   0.0001  0.0000     0.0000  0.0001
     18   0.0001  0.0000     0.0000  0.0001
     19   0.0001  0.0000     0.0000  0.0001

