Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6451  2.7154    -9.0041 -0.5247
      1  -2.3454  1.4600    -4.6104 -0.2758
      2  -1.1702  0.9247    -2.3452 -0.1414
      3  -1.8006  0.6999    -2.5206 -1.3360
      4  -2.0749  0.6459    -2.6960 -1.7520
      5  -1.8964  0.5940    -2.3161 -1.6404
      6  -1.8449  0.4410    -2.1098 -1.6404
      7  -2.0875  1.0165    -3.1840 -1.6137
      8  -2.3204  1.2123    -4.9727 -1.7082
      9  -2.1716  0.9281    -2.8854 -1.7527
     10  -2.2177  0.8409    -2.8277 -1.8842
     11  -2.2061  0.6900    -2.6491 -1.9683
     12  -2.1491  0.5159    -2.4462 -1.9745
     13  -2.1444  0.4031    -2.4002 -2.1141
     14  -2.1232  0.2966    -2.3697 -2.1145
     15  -2.1120  0.3311    -2.3670 -1.9935
     16  -2.1174  0.2552    -2.3666 -2.1157
     17  -2.1085  0.2624    -2.3649 -2.0410
     18  -2.1066  0.1942    -2.3643 -2.0898
     19  -2.0991  0.1760    -2.3630 -2.0274

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1023  0.0585     0.0072  0.1899
      1   0.1028  0.0583     0.0076  0.1900
      2   0.1041  0.0579     0.0087  0.1901
      3   0.1018  0.0587     0.0067  0.1898
      4   0.1006  0.0590     0.0059  0.1896
      5   0.1030  0.0585     0.0074  0.1901
      6   0.1106  0.0561     0.0142  0.1911
      7   0.0498  0.0389     0.0001  0.1228
      8   0.0381  0.0324     0.0000  0.0977
      9   0.0427  0.0322     0.0001  0.1014
     10   0.0482  0.0349     0.0002  0.1120
     11   0.0543  0.0360     0.0024  0.1189
     12   0.0589  0.0354     0.0072  0.1221
     13   0.0637  0.0353     0.0104  0.1263
     14   0.0670  0.0346     0.0151  0.1285
     15   0.0617  0.0323     0.0134  0.1184
     16   0.0659  0.0322     0.0169  0.1222
     17   0.0641  0.0316     0.0163  0.1195
     18   0.0655  0.0312     0.0189  0.1203
     19   0.0676  0.0320     0.0202  0.1240

