Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -7.1122  1.4320    -7.5291 -5.2670
      1  -6.1021  0.9487    -7.3414 -5.0406
      2  -5.5601  0.7459    -6.3401 -4.7869
      3  -5.2547  0.6918    -5.8999 -4.4916
      4  -5.0699  0.6765    -5.6740 -4.2297
      5  -4.7379  0.8387    -5.4794 -3.4343
      6  -4.3180  1.0378    -5.2855 -2.4856
      7  -4.6064  0.7544    -5.2980 -3.7558
      8  -4.7400  0.6283    -5.3360 -4.2812
      9  -4.8702  0.7401    -5.5189 -4.3553
     10  -4.9583  0.6840    -5.5585 -4.6067
     11  -5.0086  0.5718    -5.5316 -4.7835
     12  -5.1192  1.0143    -6.3073 -3.8686
     13  -5.1509  0.7752    -6.0142 -4.7472
     14  -5.1345  0.6053    -5.7811 -4.8035
     15  -5.1181  0.4778    -5.7007 -4.8335
     16  -5.2087  0.5326    -5.7791 -4.9466
     17  -5.1921  0.4271    -5.7260 -4.9838
     18  -5.0520  0.7183    -5.7395 -4.5877
     19  -5.0671  0.5528    -5.6983 -4.7139

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1018  0.0592     0.0031  0.1899
      1   0.1008  0.0598     0.0025  0.1898
      2   0.0999  0.0601     0.0023  0.1897
      3   0.0971  0.0609     0.0020  0.1894
      4   0.0919  0.0609     0.0021  0.1882
      5   0.0598  0.0524     0.0001  0.1660
      6   0.0269  0.0259     0.0001  0.0759
      7   0.0345  0.0286     0.0001  0.0877
      8   0.0410  0.0311     0.0007  0.0987
      9   0.0335  0.0252     0.0001  0.0785
     10   0.0367  0.0270     0.0001  0.0854
     11   0.0411  0.0283     0.0014  0.0920
     12   0.0189  0.0139     0.0000  0.0410
     13   0.0201  0.0134     0.0001  0.0416
     14   0.0219  0.0133     0.0006  0.0434
     15   0.0235  0.0132     0.0017  0.0449
     16   0.0211  0.0117     0.0011  0.0395
     17   0.0226  0.0117     0.0022  0.0407
     18   0.0151  0.0086     0.0001  0.0272
     19   0.0156  0.0084     0.0006  0.0273

