Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.5396  2.2078    -9.0941 -2.2487
      1  -3.6257  1.1702    -5.4330 -2.0371
      2  -2.7186  0.7813    -3.6800 -1.9097
      3  -3.2166  0.6202    -3.8951 -2.8077
      4  -3.5142  0.6597    -4.3569 -3.1971
      5  -3.4185  0.4689    -3.7516 -3.1974
      6  -3.3216  0.6172    -3.6874 -2.9585
      7  -3.4361  0.5767    -3.7536 -3.1989
      8  -3.4516  0.4506    -3.6896 -3.3728
      9  -3.4328  0.3243    -3.6849 -3.3974
     10  -3.4239  0.2362    -3.6822 -3.4149
     11  -3.4267  0.1736    -3.6816 -3.4318
     12  -3.4311  0.1298    -3.6813 -3.4376
     13  -3.4270  0.0960    -3.6785 -3.4377
     14  -3.4289  0.0755    -3.6786 -3.4397
     15  -3.4464  0.1978    -3.7247 -3.4393
     16  -3.5293  0.4020    -3.9440 -3.4405
     17  -3.6623  0.5544    -4.1898 -3.4509
     18  -3.6248  0.4252    -4.0561 -3.4522
     19  -3.5637  0.4339    -3.9484 -3.4416

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1014  0.0590     0.0060  0.1898
      1   0.1013  0.0591     0.0058  0.1898
      2   0.1012  0.0592     0.0057  0.1899
      3   0.1002  0.0593     0.0050  0.1896
      4   0.0938  0.0606     0.0024  0.1884
      5   0.1064  0.0577     0.0084  0.1905
      6   0.0751  0.0509     0.0025  0.1694
      7   0.0857  0.0535     0.0033  0.1780
      8   0.0959  0.0520     0.0089  0.1815
      9   0.0984  0.0506     0.0152  0.1820
     10   0.1001  0.0496     0.0193  0.1823
     11   0.1029  0.0482     0.0242  0.1829
     12   0.1078  0.0469     0.0300  0.1843
     13   0.1124  0.0455     0.0362  0.1856
     14   0.1178  0.0446     0.0418  0.1875
     15   0.0754  0.0372     0.0181  0.1412
     16   0.0431  0.0243     0.0067  0.0850
     17   0.0289  0.0161     0.0018  0.0546
     18   0.0308  0.0157     0.0044  0.0559
     19   0.0320  0.0166     0.0046  0.0592

