Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.8817  2.0182    -9.1289 -2.9018
      1  -4.3539  1.1748    -6.2072 -2.7460
      2  -3.4384  0.7424    -4.4498 -2.6523
      3  -3.8477  0.5534    -4.5128 -3.4369
      4  -3.5693  0.4843    -4.0614 -3.2907
      5  -3.4262  0.4697    -3.8621 -3.1890
      6  -3.2363  0.8796    -3.9381 -2.3634
      7  -3.0125  1.3589    -6.2554 -1.3838
      8  -3.0457  1.0820    -4.7172 -2.0143
      9  -3.0697  0.8657    -3.8978 -2.4202
     10  -3.1177  0.7251    -3.7988 -2.6687
     11  -3.0094  0.7442    -3.6397 -2.5580
     12  -3.0203  0.6003    -3.5883 -2.6884
     13  -2.9506  0.5259    -3.4123 -2.6714
     14  -2.9050  0.4347    -3.3636 -2.6664
     15  -2.9243  0.3496    -3.3652 -2.7237
     16  -2.8837  0.3301    -3.2602 -2.6902
     17  -2.9186  0.3154    -3.3191 -2.7784
     18  -3.0198  0.5625    -3.4269 -2.7832
     19  -2.9814  0.4478    -3.4036 -2.7887

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1018  0.0588     0.0065  0.1898
      1   0.1019  0.0586     0.0067  0.1898
      2   0.1023  0.0586     0.0068  0.1899
      3   0.1035  0.0582     0.0082  0.1901
      4   0.1046  0.0581     0.0085  0.1903
      5   0.1039  0.0582     0.0081  0.1902
      6   0.0444  0.0372     0.0001  0.1160
      7   0.0171  0.0152     0.0000  0.0434
      8   0.0202  0.0157     0.0000  0.0468
      9   0.0231  0.0160     0.0001  0.0499
     10   0.0257  0.0167     0.0003  0.0537
     11   0.0251  0.0163     0.0001  0.0523
     12   0.0275  0.0165     0.0016  0.0547
     13   0.0296  0.0172     0.0027  0.0586
     14   0.0319  0.0177     0.0044  0.0615
     15   0.0343  0.0179     0.0071  0.0644
     16   0.0354  0.0186     0.0074  0.0667
     17   0.0368  0.0192     0.0077  0.0690
     18   0.0242  0.0127     0.0018  0.0438
     19   0.0258  0.0126     0.0035  0.0455

