Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.3872  2.0469    -6.6678 -0.3592
      1  -1.8042  1.2320    -3.6074 -0.1972
      2  -0.8993  0.8771    -1.8377 -0.1038
      3  -0.4149  0.8257    -1.0128 -0.0519
      4  -0.2437  0.7308    -0.6613 -0.0367
      5  -0.1258  0.7213    -0.4749 -0.0250
      6  -0.0806  0.5157    -0.4372 -0.0247
      7  -0.0575  0.3688    -0.4162 -0.0246
      8  -0.4131  1.4469    -3.4698 -0.0264
      9  -0.2406  1.0645    -0.7024 -0.0258
     10  -0.1467  0.8034    -0.4896 -0.0250
     11  -0.0917  0.6098    -0.4139 -0.0244
     12  -0.0638  0.5084    -0.2744 -0.0239
     13  -0.0411  0.3790    -0.2683 -0.0236
     14  -0.0279  0.2830    -0.2651 -0.0235
     15  -0.0287  0.3098    -0.2634 -0.0234
     16  -0.0270  0.3036    -0.2623 -0.0233
     17  -0.5635  1.7171    -5.2669 -0.0263
     18  -4.2604  2.8199    -8.9426 -0.2517
     19  -4.4012  2.7773    -8.9643 -0.3834

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1009  0.0591     0.0056  0.1897
      1   0.1012  0.0590     0.0059  0.1898
      2   0.1017  0.0588     0.0065  0.1898
      3   0.1012  0.0587     0.0064  0.1897
      4   0.1057  0.0574     0.0101  0.1904
      5   0.1068  0.0566     0.0116  0.1904
      6   0.1088  0.0553     0.0165  0.1906
      7   0.1100  0.0545     0.0194  0.1907
      8   0.0285  0.0213     0.0001  0.0659
      9   0.0297  0.0209     0.0005  0.0666
     10   0.0321  0.0209     0.0024  0.0686
     11   0.0345  0.0210     0.0048  0.0714
     12   0.0378  0.0221     0.0071  0.0763
     13   0.0399  0.0221     0.0085  0.0786
     14   0.0420  0.0222     0.0100  0.0807
     15   0.0397  0.0207     0.0094  0.0752
     16   0.0401  0.0208     0.0095  0.0758
     17   0.0125  0.0080     0.0000  0.0236
     18   0.0003  0.0010     0.0000  0.0001
     19   0.0001  0.0001     0.0000  0.0001

