Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.4936  2.2327    -9.0894 -2.1614
      1  -3.7051  1.2528    -5.6703 -1.9786
      2  -2.7857  0.8097    -3.9094 -1.8841
      3  -2.2713  0.6364    -2.9795 -1.7530
      4  -2.5648  0.5430    -3.1168 -2.2790
      5  -2.7141  0.5117    -3.2307 -2.4973
      6  -2.6456  0.3844    -2.9136 -2.4846
      7  -2.6594  0.2911    -2.9014 -2.6449
      8  -2.6444  0.2080    -2.8947 -2.6452
      9  -2.6464  0.1536    -2.8943 -2.6498
     10  -2.6427  0.1110    -2.8928 -2.6499
     11  -2.6406  0.0818    -2.8915 -2.6499
     12  -2.6418  0.0620    -2.8916 -2.6514
     13  -2.6420  0.0489    -2.8915 -2.6518
     14  -2.6419  0.0405    -2.8915 -2.6519
     15  -2.6393  0.0244    -2.8891 -2.6518
     16  -2.6393  0.0198    -2.8890 -2.6518
     17  -2.6388  0.0126    -2.8886 -2.6518
     18  -2.6387  0.0087    -2.8885 -2.6518
     19  -2.6387  0.0066    -2.8885 -2.6518

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1013  0.0589     0.0061  0.1898
      1   0.1012  0.0589     0.0061  0.1898
      2   0.1016  0.0587     0.0068  0.1898
      3   0.1009  0.0586     0.0069  0.1896
      4   0.1018  0.0584     0.0075  0.1897
      5   0.1009  0.0584     0.0075  0.1895
      6   0.1121  0.0556     0.0148  0.1913
      7   0.1202  0.0528     0.0229  0.1924
      8   0.1239  0.0504     0.0314  0.1927
      9   0.1278  0.0482     0.0389  0.1931
     10   0.1288  0.0473     0.0423  0.1931
     11   0.1297  0.0465     0.0448  0.1932
     12   0.1330  0.0449     0.0503  0.1936
     13   0.1347  0.0439     0.0537  0.1937
     14   0.1356  0.0433     0.0559  0.1938
     15   0.1387  0.0418     0.0612  0.1942
     16   0.1411  0.0406     0.0649  0.1945
     17   0.1433  0.0395     0.0689  0.1947
     18   0.1455  0.0385     0.0723  0.1950
     19   0.1476  0.0375     0.0759  0.1952

