trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  547 310.00  0.00 800.00  8.60  1
  1  754 420.00  0.00 800.00 260.00  0
  2  661 370.00  0.00 800.00 52.00  0
  3  694 390.00  0.00 800.00 17.20  0
  4  745 420.00  0.00 800.00  8.60  1
  5  693 390.00  0.00 800.00 12.90  1
  6  694 390.00  0.00 800.00 17.20  0
  7  746 420.00  0.00 800.00 10.80  1
  8  694 370.00  0.00 800.00 21.50  0
  9  694 380.00  0.00 800.00 12.90  1
 10  694 400.00  0.00 800.00 21.50  0
 11  694 390.00  0.00 800.00 21.50  0
 12  693 390.00  0.00 800.00 12.90  1
 13  694 380.00  0.00 800.00 12.90  1
 14  694 370.00  0.00 800.00 12.90  1
 15  605 340.00  0.00 800.00 21.50  0
 16 1049 590.00  0.00 800.00  4.30  1
 17  783 440.00  0.00 800.00 12.90  0
 18  676 380.00  0.00 800.00 17.20  0
 19  462 260.00  0.00 800.00 26.00  1
