Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.9996  1.9631    -9.1418 -3.1023
      1  -4.4648  1.1318    -6.2170 -2.9292
      2  -5.3823  0.7082    -6.3038 -4.7521
      3  -5.7899  0.5959    -6.4624 -5.4654
      4  -6.0588  0.6607    -6.7621 -5.8229
      5  -6.0008  0.4800    -6.3178 -5.8321
      6  -5.7632  0.8115    -6.3190 -5.2393
      7  -5.7040  0.7184    -6.2639 -5.2910
      8  -5.7701  0.5549    -6.2563 -5.6121
      9  -5.7966  0.4090    -6.2461 -5.7153
     10  -5.8104  0.3044    -6.2401 -5.7936
     11  -5.8177  0.2319    -6.2365 -5.7968
     12  -5.8219  0.1834    -6.2343 -5.7994
     13  -5.8248  0.1518    -6.2329 -5.8016
     14  -5.8265  0.1320    -6.2319 -5.8031
     15  -5.8272  0.1203    -6.2309 -5.8039
     16  -5.8280  0.1130    -6.2302 -5.8048
     17  -5.8280  0.1090    -6.2295 -5.8051
     18  -5.8284  0.1060    -6.2290 -5.8057
     19  -5.8284  0.1044    -6.2284 -5.8058

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1034  0.0583     0.0069  0.1901
      1   0.1032  0.0584     0.0066  0.1900
      2   0.1030  0.0582     0.0066  0.1900
      3   0.1030  0.0584     0.0064  0.1900
      4   0.0969  0.0599     0.0028  0.1889
      5   0.1092  0.0570     0.0104  0.1910
      6   0.0569  0.0425     0.0001  0.1379
      7   0.0602  0.0435     0.0001  0.1436
      8   0.0679  0.0433     0.0048  0.1497
      9   0.0707  0.0424     0.0105  0.1511
     10   0.0727  0.0418     0.0145  0.1521
     11   0.0740  0.0413     0.0166  0.1529
     12   0.0753  0.0410     0.0185  0.1536
     13   0.0765  0.0407     0.0203  0.1543
     14   0.0775  0.0405     0.0216  0.1549
     15   0.0782  0.0403     0.0224  0.1553
     16   0.0789  0.0401     0.0233  0.1558
     17   0.0793  0.0400     0.0238  0.1559
     18   0.0799  0.0399     0.0246  0.1563
     19   0.0802  0.0398     0.0250  0.1565

