Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.1242  1.4335    -3.9877 -0.1064
      1  -0.7169  1.3432    -2.9222 -0.0653
      2  -0.9495  1.2839    -3.0393 -0.4086
      3  -0.8061  1.2901    -2.8509 -0.3210
      4  -3.4240  3.0138    -8.8166 -0.1091
      5  -2.7667  2.9633    -8.6371 -0.0786
      6  -4.5259  2.7517    -8.9873 -0.4393
      7  -4.4693  2.7567    -8.9755 -0.4187
      8  -4.3987  2.7647    -8.9606 -0.3898
      9  -4.3002  2.7842    -8.9432 -0.3466
     10  -4.1519  2.8146    -8.9172 -0.2888
     11  -3.9195  2.8551    -8.8745 -0.2257
     12  -3.5644  2.8860    -8.7964 -0.1686
     13  -3.0611  2.8658    -8.6532 -0.1240
     14  -2.4454  2.7267    -8.3815 -0.0943
     15  -1.8323  2.4342    -7.8507 -0.0767
     16  -1.3311  2.0382    -6.8240 -0.0669
     17  -0.9869  1.6307    -4.9874 -0.0616
     18  -0.7787  1.2831    -2.9923 -0.0588
     19  -0.6616  1.0208    -2.1778 -0.0574

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0956  0.0622     0.0001  0.1893
      1   0.0982  0.0612     0.0001  0.1896
      2   0.0972  0.0615     0.0001  0.1895
      3   0.0977  0.0613     0.0001  0.1895
      4   0.0038  0.0075     0.0000  0.0174
      5   0.0058  0.0088     0.0000  0.0205
      6   0.0001  0.0005     0.0000  0.0001
      7   0.0002  0.0006     0.0000  0.0001
      8   0.0002  0.0009     0.0000  0.0001
      9   0.0003  0.0012     0.0000  0.0001
     10   0.0005  0.0017     0.0000  0.0013
     11   0.0009  0.0022     0.0000  0.0039
     12   0.0015  0.0028     0.0000  0.0053
     13   0.0023  0.0032     0.0000  0.0060
     14   0.0034  0.0035     0.0000  0.0063
     15   0.0046  0.0033     0.0000  0.0065
     16   0.0055  0.0029     0.0000  0.0066
     17   0.0061  0.0023     0.0000  0.0066
     18   0.0065  0.0018     0.0001  0.0067
     19   0.0068  0.0014     0.0002  0.0067

